ticker,ILAL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-04-24,25.0
2019-04-26,20.0
2019-04-29,-8.3333
2019-04-30,-9.0909
2019-05-02,90.0
2019-05-03,5.2632
2019-05-07,-66.0
2019-05-14,-24.1176
2019-05-15,0.0
2019-05-22,-1.7442
2019-05-29,-8.4813
2019-05-30,72.4138
2019-05-31,0.5
2019-06-03,-5.4726
2019-06-06,5.7895
2019-06-07,-13.1841
2019-06-10,14.613199999999999
2019-06-11,0.5
2019-06-13,-2.4876
2019-06-14,-10.7143
2019-06-18,-14.2857
2019-06-20,0.0
2019-06-27,-40.0
2019-06-28,11.1111
2019-07-01,0.0
2019-07-02,0.0
2019-07-03,0.0
2019-07-09,0.0
2019-07-10,0.0
2019-07-12,-7.5
2019-07-15,8.1081
2019-07-16,-5.0
2019-07-17,10.526299999999999
2019-07-18,4.7619
2019-07-19,0.0
2019-07-22,-26.3636
2019-07-23,23.4568
2019-07-24,-10.0
2019-07-25,5.5556
2019-07-26,-17.8947
2019-07-29,0.0
2019-07-30,8.9744
2019-08-01,-5.8824
2019-08-05,6.25
2019-08-06,0.0
2019-08-07,0.0
2019-08-09,-38.8235
2019-08-12,15.3846
2019-08-13,-3.3333
2019-08-14,3.4483
2019-08-15,-8.3333
2019-08-16,-9.0909
2019-08-19,14.3
2019-08-20,-17.7603
2019-08-21,6.383
2019-08-22,-10.79
2019-08-23,3.1275
2019-08-26,6.5217
2019-08-27,-2.0408
2019-08-28,-6.25
2019-08-29,9.8889
2019-09-03,-15.0657
2019-09-04,19.0476
2019-09-05,-17.0
2019-09-06,-13.9759
2019-09-09,-0.5602
2019-09-10,-16.169
2019-09-11,0.8065
2019-09-12,20.1333
2019-09-13,-4.9667
2019-09-16,5.1095
2019-09-17,-2.7778
2019-09-18,0.0
2019-09-19,5.7143
2019-09-20,13.7162
2019-09-23,-12.0618
2019-09-24,5.4054
2019-09-25,7.6923
2019-09-26,2.3810000000000002
2019-09-27,1.1628
2019-09-30,2.2989
2019-10-01,30.3371
2019-10-02,3.4483
2019-10-03,-16.0
2019-10-04,8.7897
2019-10-07,2.1339
2019-10-08,-1.7856999999999998
2019-10-09,18.1818
2019-10-10,7.6923
2019-10-11,2.8571
2019-10-14,-11.391
2019-10-15,7.8395
2019-10-16,7.5581
2019-10-17,-10.8108
2019-10-18,-3.7121
2019-10-21,-6.5931999999999995
2019-10-22,1.0782
2019-10-23,-4.6808
2019-10-24,20.6473
2019-10-25,7.2464
