ticker,MDLY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-09-24,-8.8889
2014-09-25,-0.9146
2014-09-26,3.2
2014-09-29,-0.3578
2014-09-30,0.9575
2014-10-01,-3.0824
2014-10-02,-0.6116
2014-10-03,0.0
2014-10-06,0.6154
2014-10-07,0.0
2014-10-08,0.4893
2014-10-09,-4.2605
2014-10-10,-5.2765
2014-10-13,1.5436
2014-10-14,-0.0661
2014-10-15,-4.6958
2014-10-16,3.4004
2014-10-17,4.0268
2014-10-20,2.4516
2014-10-21,3.9043
2014-10-22,1.0909
2014-10-23,-0.8393
2014-10-24,2.1765
2014-10-27,-0.4142
2014-10-28,0.5348
2014-10-29,-1.5366
2014-10-30,-4.6819
2014-10-31,2.3929
2014-11-03,0.861
2014-11-04,-1.8293
2014-11-05,-0.9938
2014-11-06,-3.5132
2014-11-07,-0.5202
2014-11-10,5.2941
2014-11-11,0.6207
2014-11-12,1.1721
2014-11-13,0.2439
2014-11-14,-2.3905
2014-11-17,1.9505
2014-11-18,1.5281
2014-11-19,-1.1439
2014-11-20,-0.1827
2014-11-21,1.5863
2014-11-24,0.6006
2014-11-25,-0.7164
2014-11-26,0.6013
2014-11-28,-0.1793
2014-12-01,-2.3952
2014-12-02,2.0859
2014-12-03,-3.4255
2014-12-04,-0.4978
2014-12-05,1.0006
2014-12-08,-1.6099
2014-12-09,0.0
2014-12-10,-1.6992
2014-12-11,1.4725
2014-12-12,-3.7224
2014-12-15,-6.2254
2014-12-16,-1.7718
2014-12-17,-1.1544
2014-12-18,1.9708
2014-12-19,5.2255
2014-12-22,3.8095
2014-12-23,2.228
2014-12-24,0.0641
2014-12-26,-1.025
2014-12-29,1.165
2014-12-30,-4.6705
2014-12-31,-1.3423
2015-01-02,0.7483
2015-01-05,0.8778
2015-01-06,-4.5515
2015-01-07,1.0519
2015-01-08,-1.8043
2015-01-09,-0.636
2015-01-12,-3.6273
2015-01-13,-2.8782
2015-01-14,-15.6535
2015-01-15,0.5405
2015-01-16,1.5232999999999999
2015-01-20,-0.7061
2015-01-21,-2.8444000000000003
2015-01-22,0.4575
2015-01-23,-0.6375
2015-01-26,-3.758
2015-01-27,0.8571
2015-01-28,-2.2663
2015-01-29,-2.6087
2015-01-30,-2.0833
2015-02-02,0.304
2015-02-03,1.5152
2015-02-04,1.8904999999999998
2015-02-05,6.3477
2015-02-06,-1.1938
2015-02-09,-3.4387
2015-02-10,3.2724
2015-02-11,1.5843
2015-02-12,-3.3028
