ticker,IMNPQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-01-06,-17.0588
2006-01-09,-13.1915
2006-01-10,-5.0654
2006-01-11,0.0
2006-01-12,-5.3356
2006-01-13,-3.4545
2006-01-17,-5.4614
2006-01-18,-0.3984
2006-01-19,0.4
2006-01-20,-2.1912
2006-01-23,-3.055
2006-01-24,-2.3109
2006-01-25,0.2151
2006-01-26,-0.2146
2006-01-27,-5.1613
2006-01-30,-4.7619
2006-01-31,-1.1905000000000001
2006-02-01,-2.8916
2006-02-02,-0.7444
2006-02-03,-3.25
2006-02-06,-0.2584
2006-02-07,1.0363
2006-02-08,-12.3077
2006-02-09,-2.6316
2006-02-10,3.6787
2006-02-13,-2.3896
2006-02-14,6.4094999999999995
2006-02-15,-2.3982
2006-02-16,0.0
2006-02-17,1.4285999999999999
2006-02-21,-1.9718
2006-02-22,-5.7471
2006-02-23,1.5244
2006-02-24,-0.9009
2006-02-27,0.9091
2006-02-28,-2.1021
2006-03-01,0.3067
2006-03-02,-2.1407
2006-03-03,0.625
2006-03-06,-6.5217
2006-03-07,0.9967
2006-03-08,-0.9868
2006-03-09,2.6246
2006-03-10,-1.5863
2006-03-13,2.3026
2006-03-14,-3.2154
2006-03-15,5.9801
2006-03-16,31.348
2006-03-17,-6.6826
2006-03-20,-4.0921
2006-03-21,-8.8
2006-03-22,-1.7544
2006-03-23,4.1667
2006-03-24,-3.7143
2006-03-27,-0.2967
2006-03-28,-3.2738
2006-03-29,-1.5385
2006-03-30,3.4375
2006-03-31,35.9517
2006-04-03,-6.0
2006-04-04,2.1277
2006-04-05,-0.463
2006-04-06,-9.5349
2006-04-07,-9.5116
2006-04-10,-1.9886
2006-04-11,-1.4493
2006-04-12,-6.4706
2006-04-13,3.1447
2006-04-17,1.5244
2006-04-18,4.5045
2006-04-19,-2.0115
2006-04-20,2.346
2006-04-21,0.8596
2006-04-24,-0.8523
2006-04-25,-0.8596
2006-04-26,0.289
2006-04-27,-1.4409
2006-04-28,-1.462
2006-05-01,-0.8902
2006-05-02,-0.5988
2006-05-03,-3.6145
2006-05-04,-3.125
2006-05-05,0.0
2006-05-08,-3.5484
2006-05-09,-2.3411
2006-05-10,-2.3973
2006-05-11,0.3509
2006-05-12,-3.4965
2006-05-15,2.8986
2006-05-16,-3.169
2006-05-17,3.2727
2006-05-18,-4.9296
2006-05-19,3.7037
2006-05-22,-3.2143
2006-05-23,-0.369
2006-05-24,-5.5556
2006-05-25,3.5294
2006-05-26,2.2727
