ticker,VSTM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-01-27,10.9
2012-01-30,2.7953
2012-01-31,-3.8596
2012-02-01,0.365
2012-02-02,0.0
2012-02-03,1.2727
2012-02-06,-1.7953000000000001
2012-02-07,-0.0914
2012-02-08,0.6404
2012-02-09,-1.0909
2012-02-10,0.1838
2012-02-13,3.8532
2012-02-14,0.6184
2012-02-15,-0.4214
2012-02-16,2.0984
2012-02-17,-0.5181
2012-02-21,-4.4271
2012-02-22,0.3633
2012-02-23,2.2624
2012-02-24,-3.8938
2012-02-27,5.8932
2012-02-28,0.8696
2012-02-29,0.0
2012-03-01,-2.5862
2012-03-02,3.5398
2012-03-05,-4.6154
2012-03-06,-0.5376
2012-03-07,-2.1622
2012-03-08,-0.3683
2012-03-09,3.7893
2012-03-12,1.1576
2012-03-13,-1.4085
2012-03-14,-1.7856999999999998
2012-03-15,9.1818
2012-03-16,-7.9933
2012-03-19,-0.2715
2012-03-20,0.4537
2012-03-21,-3.3424
2012-03-22,-0.5607
2012-03-23,2.7256
2012-03-26,-0.5489
2012-03-27,-1.196
2012-03-28,1.0242
2012-03-29,-2.0276
2012-03-30,2.8222
2012-04-02,-0.183
2012-04-03,-1.6499000000000001
2012-04-04,-1.1184
2012-04-05,-0.1885
2012-04-09,1.6997
2012-04-10,-1.6713
2012-04-11,4.9103
2012-04-12,-0.9901
2012-04-13,-3.6364
2012-04-16,-3.0189
2012-04-17,-1.07
2012-04-18,-0.9833
2012-04-19,-2.4826
2012-04-20,0.7128
2012-04-23,-1.0111
2012-04-24,1.6343
2012-04-25,-0.5025
2012-04-26,0.0
2012-04-27,0.0
2012-04-30,4.8485
2012-05-01,1.6378
2012-05-02,1.6114000000000002
2012-05-03,-7.2761
2012-05-04,-4.5272
2012-05-07,5.3741
2012-05-08,-0.1
2012-05-09,-3.2032
2012-05-10,2.1717
2012-05-11,0.6073
2012-05-14,-4.1247
2012-05-15,1.6789
2012-05-16,0.3096
2012-05-17,1.1317
2012-05-18,-1.0173
2012-05-21,2.7749
2012-05-22,-4.2
2012-05-23,-0.6263
2012-05-24,0.105
2012-05-25,-2.2036
2012-05-29,1.9313
2012-05-30,-1.7894999999999999
2012-05-31,7.6099
2012-06-01,-5.7769
2012-06-04,4.2283
2012-06-05,2.8398
2012-06-06,3.7475
2012-06-07,-4.3726
2012-06-08,0.0994
2012-06-11,-7.2493
2012-06-12,5.8887
2012-06-13,-5.1567
2012-06-14,11.3006
2012-06-15,-2.2989
