ticker,SYNH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-11-07,10.7568
2014-11-10,0.8785
2014-11-11,1.403
2014-11-12,-0.2863
2014-11-13,2.1531000000000002
2014-11-14,4.0281
2014-11-17,-0.4953
2014-11-18,2.6696999999999997
2014-11-19,-0.5729
2014-11-20,0.1773
2014-11-21,4.292
2014-11-24,1.7819
2014-11-25,-0.1251
2014-11-26,0.1669
2014-11-28,1.625
2014-12-01,-1.599
2014-12-02,0.8333
2014-12-03,3.2645
2014-12-04,-4.0416
2014-12-05,-1.7515
2014-12-08,4.4567
2014-12-09,1.3409
2014-12-10,-0.401
2014-12-11,-2.7778
2014-12-12,-5.7143
2014-12-15,2.9864
2014-12-16,0.7249
2014-12-17,0.8891
2014-12-18,2.7277
2014-12-19,1.634
2014-12-22,1.0048
2014-12-23,2.2284
2014-12-24,1.7127
2014-12-26,-0.8419
2014-12-29,2.8753
2014-12-30,-2.1947
2014-12-31,-1.4576
2015-01-02,-2.9583
2015-01-05,0.8022
2015-01-06,1.5121
2015-01-07,0.3528
2015-01-08,4.8437
2015-01-09,1.8256000000000001
2015-01-12,0.9513
2015-01-13,-2.5009
2015-01-14,0.0372
2015-01-15,-0.1115
2015-01-16,0.2976
2015-01-20,-2.819
2015-01-21,-2.6718
2015-01-22,-3.6078
2015-01-23,-3.3767
2015-01-26,4.6316
2015-01-27,-1.0463
2015-01-28,0.4473
2015-01-29,-2.2267
2015-01-30,-3.5197000000000003
2015-02-02,-0.8155
2015-02-03,-0.3462
2015-02-04,1.6934
2015-02-05,2.2203
2015-02-06,-5.1378
2015-02-09,-0.3523
2015-02-10,0.8396
2015-02-11,-0.6135
2015-02-12,8.642
2015-02-13,-1.8263
2015-02-17,3.9686
2015-02-18,-1.2724
2015-02-19,2.94
2015-02-20,0.1956
2015-02-23,1.4838
2015-02-24,7.4644
2015-02-25,10.5979
2015-02-26,-1.2302
2015-02-27,-1.901
2015-03-02,0.1671
2015-03-03,-1.1007
2015-03-04,-0.5396
2015-03-05,1.3564
2015-03-06,1.3048
2015-03-09,0.8917
2015-03-10,-0.4583
2015-03-11,0.9865
2015-03-12,3.8424
2015-03-13,-0.3449
2015-03-16,0.6293
2015-03-17,-1.7198
2015-03-18,2.1954
2015-03-19,2.9888
2015-03-20,-0.4837
2015-03-23,0.2126
2015-03-24,0.0
2015-03-25,-4.1528
2015-03-26,1.2334
2015-03-27,-0.2187
2015-03-30,1.9724
2015-03-31,0.4912
2015-04-01,-2.2304
