ticker,HLI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-08-13,6.6667
2015-08-14,1.5625
2015-08-17,-1.3187
2015-08-18,0.2227
2015-08-19,-1.7778
2015-08-20,-0.4525
2015-08-21,-1.4091
2015-08-24,-2.6279
2015-08-25,1.7992
2015-08-26,-0.3721
2015-08-27,1.8674
2015-08-28,-1.7873999999999999
2015-08-31,2.6598
2015-09-01,0.1818
2015-09-02,3.2214
2015-09-03,-0.6154
2015-09-04,-1.1499
2015-09-08,-2.0134
2015-09-09,0.3196
2015-09-10,-0.091
2015-09-11,-1.1844999999999999
2015-09-14,-1.8902999999999999
2015-09-15,3.0075
2015-09-16,-0.5474
2015-09-17,0.367
2015-09-18,0.4113
2015-09-21,-0.091
2015-09-22,1.3212
2015-09-23,0.1349
2015-09-24,-1.2572999999999999
2015-09-25,-2.774
2015-09-28,-2.1048
2015-09-29,1.3378
2015-09-30,2.7817
2015-10-01,0.367
2015-10-02,-1.7824
2015-10-05,4.5603
2015-10-06,-0.9346
2015-10-07,3.504
2015-10-08,-1.3021
2015-10-09,-2.1108
2015-10-12,-2.2462
2015-10-13,1.5625
2015-10-14,-2.3077
2015-10-15,3.3811999999999998
2015-10-16,-2.7778
2015-10-19,1.8894
2015-10-20,-0.4975
2015-10-21,-0.2727
2015-10-22,-1.0483
2015-10-23,-0.1842
2015-10-26,-2.3073
2015-10-27,1.6533
2015-10-28,3.6245000000000003
2015-10-29,-1.8834
2015-10-30,0.1371
2015-11-02,0.4108
2015-11-03,-0.0455
2015-11-04,-0.7276
2015-11-05,2.5195
2015-11-06,-1.2064
2015-11-09,0.4523
2015-11-10,0.2701
2015-11-11,-0.6736
2015-11-12,-0.0904
2015-11-13,0.5882
2015-11-16,-0.135
2015-11-17,0.1802
2015-11-18,0.7194
2015-11-19,-0.7143
2015-11-20,0.045
2015-11-23,1.6179999999999999
2015-11-24,3.096
2015-11-25,1.3728
2015-11-27,1.4388
2015-11-30,2.0025
2015-12-01,1.3088
2015-12-02,-0.1211
2015-12-03,-1.708
2015-12-04,-0.331
2015-12-07,-1.1208
2015-12-08,-1.1755
2015-12-09,-0.7647
2015-12-10,-1.1985999999999999
2015-12-11,-1.7764
2015-12-14,2.382
2015-12-15,1.508
2015-12-16,1.7402
2015-12-17,-2.7534
2015-12-18,-2.5311
2015-12-21,2.0687
2015-12-22,0.8624
2015-12-23,1.5391
2015-12-24,0.3789
2015-12-28,1.5101
2015-12-29,1.405
2015-12-30,3.7897
