ticker,VSAT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.7594
2000-01-04,-5.2083
2000-01-05,1.7856999999999998
2000-01-06,0.9447
2000-01-07,15.2406
2000-01-10,6.6125
2000-01-11,-7.5082
2000-01-12,-1.1764999999999999
2000-01-13,0.4762
2000-01-14,-0.9479
2000-01-18,0.9569
2000-01-19,17.2986
2000-01-20,21.6162
2000-01-21,0.1661
2000-01-24,-8.7894
2000-01-25,1.6364
2000-01-26,-1.7889
2000-01-27,0.7286
2000-01-28,5.2441
2000-01-31,-6.701
2000-02-01,-0.1842
2000-02-02,-0.1845
2000-02-03,5.7301
2000-02-04,3.6713
2000-02-07,0.3373
2000-02-08,7.563
2000-02-09,-1.25
2000-02-10,-2.2152
2000-02-11,-5.8252
2000-02-14,0.1718
2000-02-15,-0.5146
2000-02-16,6.8966
2000-02-17,-2.5806
2000-02-18,0.6623
2000-02-22,-4.9342
2000-02-23,0.8651
2000-02-24,0.5146
2000-02-25,-1.7065000000000001
2000-02-28,1.0417
2000-02-29,7.2165
2000-03-01,11.0577
2000-03-02,1.5873
2000-03-03,-0.2841
2000-03-06,13.3903
2000-03-07,-1.005
2000-03-08,-5.0761
2000-03-09,1.5373999999999999
2000-03-10,-1.5142
2000-03-13,-3.877
2000-03-14,-0.9736
2000-03-15,-3.3708
2000-03-16,-0.5632
2000-03-17,5.2439
2000-03-20,-1.25
2000-03-21,-3.7975
2000-03-22,0.5848
2000-03-23,6.9767
2000-03-24,-1.2227999999999999
2000-03-27,-0.2751
2000-03-28,-0.5517
2000-03-29,-10.6796
2000-03-30,-5.5123999999999995
2000-03-31,-5.341
2000-04-03,-11.1111
2000-04-04,-25.7813
2000-04-05,28.947400000000002
2000-04-06,7.1429
2000-04-07,5.1429
2000-04-10,-13.7681
2000-04-11,-7.0378
2000-04-12,-9.6045
2000-04-13,3.0
2000-04-14,-20.8738
2000-04-17,-18.865
2000-04-18,3.2136
2000-04-19,-3.1136
2000-04-20,4.3478
2000-04-24,-5.7971
2000-04-25,8.2692
2000-04-26,12.611
2000-04-27,6.0331
2000-04-28,11.4169
2000-05-01,-1.7356
2000-05-02,-6.3859
2000-05-03,-1.3062
2000-05-04,-6.9118
2000-05-05,11.8483
2000-05-08,-6.2147
2000-05-09,-8.2831
2000-05-10,-9.688
2000-05-11,-1.2727
2000-05-12,8.2873
2000-05-15,2.2109
2000-05-16,5.6572
2000-05-17,8.3465
2000-05-18,3.7791
2000-05-19,-3.6414999999999997
