ticker,SKT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.6024
2000-01-04,0.0
2000-01-05,1.8182
2000-01-06,3.2738
2000-01-07,2.5937
2000-01-10,1.9663
2000-01-11,-1.6529
2000-01-12,-0.5602
2000-01-13,0.2817
2000-01-14,-0.8427
2000-01-18,1.4163999999999999
2000-01-19,0.5587
2000-01-20,-0.5556
2000-01-21,-0.5587
2000-01-24,0.2809
2000-01-25,0.5602
2000-01-26,0.0
2000-01-27,-3.1532
2000-01-28,0.2959
2000-01-31,-0.295
2000-02-01,-1.1834
2000-02-02,-3.5928
2000-02-03,3.4161
2000-02-04,0.3003
2000-02-07,0.5988
2000-02-08,-0.8929
2000-02-09,1.2012
2000-02-10,-0.5935
2000-02-11,0.8955
2000-02-14,-0.8876
2000-02-15,-1.194
2000-02-16,-2.4169
2000-02-17,0.0
2000-02-18,-0.3096
2000-02-22,1.8634
2000-02-23,-2.1341
2000-02-24,-2.1807
2000-02-25,0.6369
2000-02-28,-1.8987
2000-02-29,0.3226
2000-03-01,0.0
2000-03-02,-0.3215
2000-03-03,-4.5161
2000-03-06,2.7027
2000-03-07,-1.9737
2000-03-08,1.0067
2000-03-09,1.3289
2000-03-10,-0.9836
2000-03-13,1.6556
2000-03-14,-1.6287
2000-03-15,3.3113
2000-03-16,0.9615
2000-03-17,-1.9048
2000-03-20,-0.3236
2000-03-21,1.6234
2000-03-22,0.639
2000-03-23,0.0
2000-03-24,0.9524
2000-03-27,-0.6289
2000-03-28,-3.481
2000-03-29,0.0
2000-03-30,0.0
2000-03-31,0.6557
2000-04-03,2.2801
2000-04-04,-0.9554
2000-04-05,-0.3215
2000-04-06,0.6452
2000-04-07,-1.6026
2000-04-10,3.5831
2000-04-11,3.1447
2000-04-12,2.1341
2000-04-13,0.597
2000-04-14,2.0772
2000-04-17,0.8721
2000-04-18,3.4582
2000-04-19,1.3928
2000-04-20,1.3736
2000-04-24,0.813
2000-04-25,1.0753
2000-04-26,2.8510999999999997
2000-04-27,-8.7533
2000-04-28,1.1628
2000-05-01,4.023
2000-05-02,2.7624
2000-05-03,-1.3441
2000-05-04,-2.4523
2000-05-05,0.5587
2000-05-08,-0.5556
2000-05-09,-1.1173
2000-05-10,-0.8475
2000-05-11,-0.2849
2000-05-12,0.0
2000-05-15,4.2857
2000-05-16,0.8219
2000-05-17,0.5435
2000-05-18,-0.8108
2000-05-19,-0.2725
2000-05-22,1.9125999999999999
2000-05-23,0.5362
2000-05-24,1.6
