ticker,GRTS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-09-28,-5.0667
2018-10-01,-5.5478
2018-10-02,-6.6914
2018-10-03,0.0
2018-10-04,-1.7530000000000001
2018-10-05,0.3244
2018-10-08,-3.3952999999999998
2018-10-09,-2.8452
2018-10-10,0.3445
2018-10-11,5.4077
2018-10-12,1.3844
2018-10-15,-2.008
2018-10-16,2.459
2018-10-17,3.92
2018-10-18,19.2456
2018-10-19,-3.0987999999999998
2018-10-22,1.066
2018-10-23,0.791
2018-10-24,-2.8123
2018-10-25,6.8641
2018-10-26,5.9824
2018-10-29,-1.4854
2018-10-30,-0.7238
2018-10-31,3.3414
2018-11-01,11.9342
2018-11-02,0.6828
2018-11-05,9.4418
2018-11-06,7.6263
2018-11-07,8.3702
2018-11-08,5.4761
2018-11-09,-8.5626
2018-11-12,-11.6949
2018-11-13,0.096
2018-11-14,-4.1707
2018-11-15,1.5008
2018-11-16,13.3563
2018-11-19,3.0435
2018-11-20,-7.4684
2018-11-21,0.5928
2018-11-23,3.0825
2018-11-26,4.2216
2018-11-27,-1.7722
2018-11-28,4.6392
2018-11-29,3.6125
2018-11-30,11.0935
2018-12-03,3.1027
2018-12-04,4.5659
2018-12-06,2.8779
2018-12-07,-5.2733
2018-12-10,-11.3714
2018-12-11,-3.5619
2018-12-12,-2.1048
2018-12-13,-1.501
2018-12-14,-8.6491
2018-12-17,-7.0784
2018-12-18,-5.2402
2018-12-19,-9.319
2018-12-20,-16.996
2018-12-21,2.1088
2018-12-24,-4.9967
2018-12-26,14.2356
2018-12-27,-3.2535
2018-12-28,-0.9518
2018-12-31,-1.025
2019-01-02,5.4369
2019-01-03,4.6654
2019-01-04,5.3959
2019-01-07,2.8937
2019-01-08,-11.0871
2019-01-09,4.8054
2019-01-10,3.4243
2019-01-11,5.0505
2019-01-14,1.2821
2019-01-15,-12.3945
2019-01-16,-2.5888
2019-01-17,-2.534
2019-01-18,-1.078
2019-01-22,-6.5385
2019-01-23,-10.4252
2019-01-24,6.049
2019-01-25,2.3827
2019-01-28,-2.1862
2019-01-29,-1.5141
2019-01-30,-6.8082
2019-01-31,0.5499
2019-02-01,-0.9375
2019-02-04,7.0189
2019-02-05,-3.3161
2019-02-06,3.2012
2019-02-07,-2.2157
2019-02-08,-2.719
2019-02-11,-0.1553
2019-02-12,-1.3219
2019-02-13,-5.2797
2019-02-14,-6.3228
2019-02-15,3.1972
2019-02-19,0.2582
2019-02-20,3.691
2019-02-21,-0.745
