ticker,AVEO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-03-12,-0.1111
2010-03-15,0.1112
2010-03-16,-1.5556
2010-03-17,-0.3386
2010-03-18,0.1133
2010-03-19,-1.0181
2010-03-22,-1.7143000000000002
2010-03-23,-0.3488
2010-03-24,0.3501
2010-03-25,-0.5814
2010-03-26,2.9825
2010-03-29,1.9875
2010-03-30,-1.2248999999999999
2010-03-31,1.4656
2010-04-01,0.7778
2010-04-05,2.9768
2010-04-06,-1.1777
2010-04-07,1.7335
2010-04-08,-0.852
2010-04-09,0.4296
2010-04-12,1.6042999999999998
2010-04-13,-7.2632
2010-04-14,0.7946
2010-04-15,0.1126
2010-04-16,0.1125
2010-04-19,-0.4494
2010-04-20,5.9818999999999996
2010-04-21,2.5559
2010-04-22,-6.5421
2010-04-23,0.5556
2010-04-26,-0.1547
2010-04-27,-0.0664
2010-04-28,-2.3256
2010-04-29,5.5556
2010-04-30,1.6112
2010-05-03,-7.0825
2010-05-04,-0.7964
2010-05-05,-1.8349
2010-05-06,-7.7103
2010-05-07,-1.0127
2010-05-10,1.2788
2010-05-11,2.2727
2010-05-12,8.1481
2010-05-13,-1.484
2010-05-14,-1.5064
2010-05-17,-3.5294
2010-05-18,0.3659
2010-05-19,-1.5796000000000001
2010-05-20,-2.4691
2010-05-21,3.1646
2010-05-24,-3.1902
2010-05-25,1.1407
2010-05-26,-4.1353
2010-05-27,4.8366
2010-05-28,-0.1247
2010-06-01,-2.372
2010-06-02,5.6266
2010-06-03,-3.1477
2010-06-04,-4.5
2010-06-07,4.4503
2010-06-08,-3.5088
2010-06-09,-2.4675000000000002
2010-06-10,-0.7989
2010-06-11,-0.4027
2010-06-14,-0.2695
2010-06-15,-2.4324
2010-06-16,-0.4155
2010-06-17,3.4771
2010-06-18,-3.2258
2010-06-21,0.1389
2010-06-22,-2.9126
2010-06-23,12.4286
2010-06-24,-7.4968
2010-06-25,-0.8929
2010-06-28,3.2571
2010-06-29,0.4027
2010-06-30,-5.4813
2010-07-01,-1.4144
2010-07-02,-0.4304
2010-07-06,-4.4669
2010-07-07,3.4691
2010-07-08,-1.6035
2010-07-09,-5.6296
2010-07-12,2.6688
2010-07-13,3.0581
2010-07-14,-5.4896
2010-07-15,2.8257
2010-07-16,-1.5267
2010-07-19,-2.1705
2010-07-20,0.1585
2010-07-21,-3.4019
2010-07-22,12.2031
2010-07-23,8.0292
2010-07-26,-0.6757
2010-07-27,0.8163
2010-07-28,-5.668
2010-07-29,2.289
