ticker,SOBS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-06,1.259
2000-04-03,-1.0398
2000-04-05,3.6231999999999998
2000-04-06,-3.1469
2000-04-07,-0.361
2000-04-14,1.087
2000-04-24,1.0753
2000-06-07,0.0
2000-07-10,-4.5856
2000-09-15,0.0
2000-09-18,0.0
2000-09-22,0.0
2000-09-25,0.0
2000-09-26,4.4776
2000-09-27,0.7143
2000-09-29,-1.0253
2000-10-02,-0.3597
2000-10-03,0.0
2000-10-04,0.361
2000-10-05,2.1583
2000-10-09,-2.1127
2000-10-10,0.0
2000-10-16,0.0
2000-10-17,-0.3597
2000-10-18,0.361
2000-10-19,-0.3597
2000-10-23,-2.8881
2000-10-25,4.9814
2000-10-26,0.0
2000-11-17,0.5666
2000-12-05,-1.2324
2000-12-15,0.8913
2000-12-20,4.947
2000-12-26,2.3569
2000-12-28,0.0
2001-01-02,-4.6053
2001-01-11,5.5262
2001-03-02,3.2895
2001-04-06,7.4994
2001-05-02,-4.4643
2001-05-04,-0.3115
2001-07-13,5.4746
2001-08-31,-4.1667
2001-09-07,4.9689
2001-09-28,-4.3261
2001-11-16,0.1242
2001-12-04,0.6203
2001-12-12,1.1097
2001-12-13,0.0
2001-12-17,4.878
2002-01-02,0.6083
2002-01-03,2.3256
2002-01-04,2.2727
2002-01-07,0.0
2002-01-09,2.2222
2002-01-16,7.6087
2002-01-17,-5.0505
2002-01-18,3.1915
2002-01-22,3.0928
2002-01-28,-5.5
2002-01-30,1.5873
2002-02-01,0.0
2002-03-08,4.1667
2002-03-25,4.0
2002-04-12,4.2874
2002-04-26,0.9259
2002-05-13,0.9174
2002-05-24,-2.7273
2002-06-06,4.6729
2002-07-31,-1.3984
2002-08-01,7.2727
2002-08-08,2.5423999999999998
2002-08-22,-0.8264
2002-09-11,0.0
2002-09-16,-10.0
2002-10-01,9.7062
2002-11-21,2.9661
2002-11-25,-4.5267
2002-12-18,0.0
2002-12-20,8.6207
2002-12-26,0.0
2003-01-23,-8.2349
2003-02-25,5.0087
2003-03-17,-6.0119
2003-04-01,8.0028
2003-04-22,1.6393
2003-04-23,2.4194
2003-05-08,2.3622
2003-06-19,0.0
2003-06-20,4.6154
2003-06-23,-0.7353
2003-07-03,1.1453
2003-07-31,4.4118
2003-08-19,-2.1127
2003-08-29,2.1583
2003-09-16,0.0
2003-09-17,1.4085
2003-09-23,-1.3889
2003-09-24,4.2254
2003-10-01,-5.059
2003-10-03,5.0
2003-10-21,-3.4013999999999998
