ticker,STBA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.0782
2000-01-04,-5.0667
2000-01-05,0.0
2000-01-06,0.0
2000-01-07,-5.0562
2000-01-10,1.7751000000000001
2000-01-11,-0.5814
2000-01-12,-0.5848
2000-01-13,1.1764999999999999
2000-01-14,-1.7442
2000-01-18,-1.1834
2000-01-19,0.5988
2000-01-20,0.0
2000-01-21,1.4881
2000-01-24,-0.5865
2000-01-25,0.0
2000-01-26,0.295
2000-01-27,2.9412000000000003
2000-01-28,-2.8571
2000-01-31,-0.2941
2000-02-01,-0.295
2000-02-02,-3.9201
2000-02-03,1.6166
2000-02-04,0.303
2000-02-07,-3.3233
2000-02-08,2.5
2000-02-09,-1.5244
2000-02-10,-1.2384
2000-02-11,0.3135
2000-02-14,0.625
2000-02-15,1.8634
2000-02-16,-4.2683
2000-02-17,-0.3185
2000-02-18,-2.8754
2000-02-22,-3.9474
2000-02-23,2.0548
2000-02-24,0.6711
2000-02-25,1.0
2000-02-28,-4.9505
2000-02-29,2.4306
2000-03-01,-2.0339
2000-03-02,0.346
2000-03-03,0.0
2000-03-06,-1.7241
2000-03-07,-0.3509
2000-03-08,-0.7042
2000-03-09,0.7092
2000-03-10,-1.4085
2000-03-13,0.7143
2000-03-14,2.1277
2000-03-15,-3.4722
2000-03-16,5.7554
2000-03-17,-4.7619
2000-03-20,0.7143
2000-03-21,-0.3546
2000-03-22,2.4911
2000-03-23,0.3472
2000-03-24,-1.0381
2000-03-27,1.3986
2000-03-28,-3.1034
2000-03-29,1.1388
2000-03-30,0.3559
2000-03-31,-2.8369
2000-04-03,0.7299
2000-04-04,-2.8986
2000-04-05,4.8507
2000-04-06,1.0676
2000-04-07,0.0
2000-04-10,-1.4085
2000-04-11,0.0
2000-04-12,-1.0714
2000-04-13,0.0
2000-04-14,0.361
2000-04-17,1.4388
2000-04-18,2.1277
2000-04-19,-2.7778
2000-04-20,1.0714
2000-04-24,1.7668
2000-04-25,0.0
2000-04-26,0.0
2000-04-27,-0.3472
2000-04-28,-2.0906
2000-05-01,2.4911
2000-05-02,-2.0833
2000-05-03,0.0
2000-05-04,3.5461
2000-05-05,0.6849
2000-05-08,-2.0408
2000-05-09,1.0417
2000-05-10,-0.3436
2000-05-11,0.6897
2000-05-12,0.3425
2000-05-15,0.6826
2000-05-16,-6.4407
2000-05-17,1.5399
2000-05-18,0.9813
2000-05-19,2.1201
2000-05-22,-1.0381
2000-05-23,1.049
2000-05-24,0.346
