ticker,OSBK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-04-02,0.0
2019-04-08,0.0
2019-04-09,0.0
2019-04-11,1.3825
2019-04-15,3.0303
2019-04-30,11.7647
2019-05-03,-10.3947
2019-05-29,0.5874
2019-05-31,0.0
2019-06-13,0.146
2019-07-01,0.5831
2019-07-23,-0.2609
2019-07-31,1.7146
2019-08-23,0.0
2019-09-13,-1.4285999999999999
2019-10-23,-1.4493
2019-10-31,0.2941
2019-11-18,0.4399
2019-11-19,3.3869
2019-11-26,-3.2194
2020-03-16,-3.7058999999999997
2020-05-21,3.3951000000000002
2020-05-22,0.0
2020-05-27,0.0
2020-05-28,0.0
2020-06-02,0.3881
2020-06-03,0.0
2020-06-15,-4.2522
2020-06-25,0.9317
2020-07-07,0.1538
