ticker,ACLD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-12-28,50.0
2001-09-28,33.3333
2001-10-31,150.0
2004-03-16,-80.0
2004-07-07,-98.75
2004-12-14,39900.0
2004-12-22,0.0
2005-11-22,-20.0
2006-03-08,200.0
2006-05-05,66.6667
2006-10-11,-50.0
2006-10-18,0.0
2006-12-15,0.0
2007-08-01,-20.0
