ticker,LSYN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-08-03,19.94
2016-08-04,3.3333
2016-08-05,16.129
2016-08-08,-16.6667
2016-08-09,6.6667
2016-08-10,-6.25
2016-08-11,0.0
2016-08-12,0.0
2016-08-15,-6.2083
2016-08-16,-0.4887
2016-08-17,0.0
2016-08-18,-2.8571
2016-08-19,-0.3676
2016-08-22,29.1513
2016-08-23,-22.8571
2016-08-24,-2.2222
2016-08-25,2.2727
2016-08-26,5.6944
2016-08-29,0.2628
2016-08-30,-2.7304
2016-08-31,2.5152
2016-09-01,15.3779
2016-09-02,-4.2149
2016-09-06,42.7156
2016-09-07,-2.2222
2016-09-08,11.3636
2016-09-09,20.4082
2016-09-12,18.6229
2016-09-13,-4.2686
2016-09-14,1.4925
2016-09-15,20.5882
2016-09-16,2.8201
2016-09-19,6.7457
2016-09-20,-3.3333
2016-09-21,-2.2989
2016-09-22,5.8824
2016-09-23,0.0
2016-09-26,-5.5556
2016-09-27,5.8824
2016-09-28,-1.2431
2016-09-29,-3.2417
2016-09-30,10.407
2016-10-03,-9.9526
2016-10-04,7.6023
2016-10-05,-4.8913
2016-10-06,0.0
2016-10-07,1.7143000000000002
2016-10-10,-12.9213
2016-10-11,-7.0968
2016-10-12,11.0938
2016-10-13,-9.9859
2016-10-14,-30.5556
2016-10-17,0.0
2016-10-18,0.0
2016-10-19,30.0
2016-10-20,-24.6154
2016-10-21,-22.4745
2016-10-24,5.2978
2016-10-25,12.5
2016-10-26,-13.1111
2016-10-27,2.3018
2016-10-28,0.75
2016-10-31,6.6998
2016-11-01,2.3256
2016-11-02,-9.0909
2016-11-03,-10.0
2016-11-04,11.1111
2016-11-07,0.0
2016-11-08,12.5
2016-11-09,-22.2222
2016-11-10,8.607099999999999
2016-11-11,8.2539
2016-11-14,3.2807
2016-11-15,-5.8824
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,12.5
2016-11-21,-10.4444
2016-11-22,2.683
2016-11-23,-0.9213
2016-11-28,-2.439
2016-11-29,0.0
2016-11-30,2.5
2016-12-01,-2.439
2016-12-02,0.0
2016-12-05,0.0
2016-12-06,5.0
2016-12-07,0.0
2016-12-08,2.3810000000000002
2016-12-09,2.3256
2016-12-12,10.7813
2016-12-13,-0.8078
2016-12-14,-0.7239
2016-12-15,0.0
2016-12-16,-10.3906
2016-12-19,11.5955
2016-12-21,-6.25
2016-12-22,-5.5556
2016-12-23,-3.5587999999999997
2016-12-27,12.2293
2016-12-28,-10.6522
