ticker,PCVX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-12,63.4375
2020-06-15,9.0631
2020-06-16,15.3576
2020-06-17,3.3435
2020-06-18,0.2059
2020-06-19,4.0505
2020-06-22,-8.7165
2020-06-23,3.2138
2020-06-24,-3.8323
2020-06-25,3.9851
2020-06-26,-1.5269
2020-06-29,-5.1383
2020-06-30,1.3141
2020-07-01,-4.6188
2020-07-02,-0.5307
2020-07-06,-2.034
2020-07-07,-2.0762
2020-07-08,3.3368
2020-07-09,-1.2782
2020-07-10,0.7836
2020-07-13,-1.2508
2020-07-14,-1.746
2020-07-15,-7.6655
2020-07-16,0.4151
2020-07-17,8.9816
2020-07-20,6.931
2020-07-21,7.9974
2020-07-22,-5.2553
2020-07-23,2.4267
2020-07-24,-5.1692
2020-07-27,1.7521
2020-07-28,-7.4298
2020-07-29,5.6838
2020-07-30,4.2373
2020-07-31,-1.7824
