ticker,CVCS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-03-12,0.0
2010-06-29,400.0
2010-07-01,304.0
2010-07-12,0.0
2012-01-13,-49.505
2012-03-19,-88.2353
2012-06-13,50.0
2012-06-20,400.0
2012-06-21,0.0
2012-06-25,-82.2222
2012-07-17,212.5
2012-09-05,-68.0
2013-05-02,43.75
2013-05-07,117.3913
2013-05-08,0.0
2013-05-15,-28.0
2013-07-29,-33.3333
2013-10-30,-16.6667
2013-11-14,29.1875
2013-11-19,54.8137
2013-12-18,25.0
2014-01-21,400.0
2014-01-22,-36.0
2014-01-23,31.25
2014-02-10,0.0
2014-02-12,-23.8095
2014-02-13,26.25
2014-02-14,-40.5941
2014-02-20,0.0
2014-03-27,0.0
2014-09-29,0.0
2015-01-06,-8.3333
2015-01-09,-18.1818
2015-08-06,-8.8889
2016-01-27,0.0
2016-05-11,0.0
2016-08-18,-24.3902
2019-10-23,-3.2258
2020-01-02,-33.3333
2020-01-03,0.0
2020-03-17,30.0
