ticker,QIWI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-05-03,0.4706
2013-05-06,-0.4684
2013-05-07,-1.3235000000000001
2013-05-08,0.2086
2013-05-09,0.5354
2013-05-10,0.0592
2013-05-13,-0.8279
2013-05-14,0.0596
2013-05-15,0.2384
2013-05-16,1.0702
2013-05-17,-0.2353
2013-05-20,-0.5896
2013-05-21,-0.5338
2013-05-22,-0.8945
2013-05-23,-2.4067
2013-05-24,-0.3083
2013-05-28,-1.175
2013-05-29,-2.2528
2013-05-30,0.2561
2013-05-31,7.9183
2013-06-03,-1.716
2013-06-04,8.3685
2013-06-05,3.9444
2013-06-06,5.3982
2013-06-07,0.9128
2013-06-10,-0.9548
2013-06-11,0.1522
2013-06-12,0.152
2013-06-13,0.607
2013-06-14,4.7959
2013-06-17,5.1607
2013-06-18,-2.1296
2013-06-19,4.5412
2013-06-20,-1.1764999999999999
2013-06-21,4.4414
2013-06-24,-2.1482
2013-06-25,-3.4050000000000002
2013-06-26,7.0501
2013-06-27,0.3899
2013-06-28,0.1295
2013-07-01,1.0345
2013-07-02,-0.9812
2013-07-03,-0.9048
2013-07-05,0.913
2013-07-08,-4.1361
2013-07-09,0.809
2013-07-10,-1.2037
2013-07-11,3.5199
2013-07-12,10.68
2013-07-15,2.8750999999999998
2013-07-16,1.5314
2013-07-17,-3.0166
2013-07-18,1.0886
2013-07-19,1.5769
2013-07-22,-0.7952
2013-07-23,-1.6031
2013-07-24,-0.931
2013-07-25,3.9937
2013-07-26,-1.1672
2013-07-29,6.1333
2013-07-30,0.1795
2013-07-31,2.8305
2013-08-01,2.9268
2013-08-02,1.5572
2013-08-05,5.5333
2013-08-06,1.9899
2013-08-07,-0.8981
2013-08-08,5.4375
2013-08-09,-1.2152
2013-08-12,-1.8002
2013-08-13,-3.8191
2013-08-14,-5.8132
2013-08-15,-3.4739
2013-08-16,0.9783
2013-08-19,3.7024
2013-08-20,-0.3003
2013-08-21,2.51
2013-08-22,3.3954
2013-08-23,-0.3789
2013-08-26,6.0222
2013-08-27,2.6308
2013-08-28,-6.8861
2013-08-29,-3.9917
2013-08-30,-2.9
2013-09-03,5.6376
2013-09-04,-2.0648
2013-09-05,-0.8758
2013-09-06,0.2976
2013-09-09,1.5495999999999999
2013-09-10,6.3312
2013-09-11,-0.2748
2013-09-12,3.3987
2013-09-13,-0.385
2013-09-16,1.0404
2013-09-17,0.1765
2013-09-18,-3.2893
2013-09-19,0.577
2013-09-20,-5.9179
2013-09-23,5.8408
