ticker,VEON US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-04-19,2.9237
2010-04-20,-2.4198
2010-04-21,2.372
2010-04-22,-4.6867
2010-04-23,1.9337
2010-04-26,-2.1138
2010-04-27,-2.2702
2010-04-28,-0.8499
2010-04-29,1.1429
2010-04-30,-1.5819
2010-05-03,2.0092
2010-05-04,-3.2639
2010-05-05,-5.3519
2010-05-06,-7.0682
2010-05-07,2.2487
2010-05-10,8.6675
2010-05-11,-4.7024
2010-05-12,4.2473
2010-05-13,-2.0971
2010-05-14,-3.7944
2010-05-17,-1.2086999999999999
2010-05-18,-2.2537
2010-05-19,0.9223
2010-05-20,-3.5901
2010-05-21,1.6249
2010-05-24,-4.4637
2010-05-25,3.4868
2010-05-26,2.0889
2010-05-27,6.0066
2010-05-28,-3.1756
2010-06-01,-0.9646
2010-06-02,4.4805
2010-06-03,-0.3729
2010-06-04,-3.1192
2010-06-07,-2.2537
2010-06-08,-1.3175
2010-06-09,1.0681
2010-06-10,4.4914
2010-06-11,0.6953
2010-06-14,0.6277
2010-06-15,5.9888
2010-06-16,0.412
2010-06-17,-2.0516
2010-06-18,2.8725
2010-06-21,-3.6649000000000003
2010-06-22,1.4493
2010-06-23,-0.119
2010-06-24,-2.503
2010-06-25,0.489
2010-06-28,1.0341
2010-06-29,-3.1908
2010-06-30,0.6219
2010-07-01,-3.6465
2010-07-02,-1.1546
2010-07-06,0.7787
2010-07-07,3.6703
2010-07-08,0.3106
2010-07-09,-1.0526
2010-07-12,-1.6896
2010-07-13,0.5092
2010-07-14,-0.6966
2010-07-15,-1.7219
2010-07-16,0.1947
2010-07-19,0.9067
2010-07-20,0.4493
2010-07-21,0.3195
2010-07-22,2.2293
2010-07-23,4.2991
2010-07-26,-1.0155
2010-07-27,-1.6295
2010-07-28,-0.0613
2010-07-29,-0.1842
2010-07-30,0.3075
2010-08-02,2.943
2010-08-03,1.1912
2010-08-04,2.1189
2010-08-05,-1.5562
2010-08-06,2.8103
2010-08-09,-0.7403
2010-08-10,-0.4016
2010-08-11,-3.1682
2010-08-12,-8.0309
2010-08-13,1.9405000000000001
2010-08-16,-1.3325
2010-08-17,-0.3215
2010-08-18,0.7097
2010-08-19,-3.1390000000000002
2010-08-20,-2.3148
2010-08-23,-1.3541
2010-08-24,-1.51
2010-08-25,4.4599
2010-08-26,0.0667
2010-08-27,0.5333
2010-08-30,-1.3263
2010-08-31,0.4704
2010-09-01,1.6722000000000001
2010-09-02,-1.7105000000000001
