ticker,BELP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-12-05,0.05
2019-12-06,0.9495
2019-12-09,-0.2475
2019-12-11,-0.6452
2019-12-12,-0.03
2019-12-13,0.03
2019-12-16,0.0
2019-12-17,0.0
2019-12-18,-0.05
2019-12-19,0.05
2019-12-20,-0.03
2019-12-23,0.4297
2019-12-24,-0.3483
2019-12-26,-0.0999
2019-12-27,0.02
2019-12-30,-0.07
2019-12-31,0.25
2020-01-02,-0.2294
2020-01-03,0.03
2020-01-07,0.05
2020-01-08,-0.05
2020-01-09,0.05
2020-01-13,0.0
2020-01-15,-0.05
2020-01-16,0.0
2020-01-22,0.05
2020-01-23,-0.1499
2020-01-28,0.1501
2020-01-29,0.0
2020-01-31,0.0
2020-02-10,0.1499
2020-02-11,0.0
2020-02-14,0.0
2020-02-19,0.0
2020-02-20,-0.0898
2020-02-26,-0.0599
2020-02-27,0.0
2020-02-28,-0.0999
2020-03-06,0.5
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,-0.995
2020-03-13,0.9045
2020-03-16,-0.3486
2020-03-18,-0.9495
2020-03-19,-1.6145
2020-03-20,0.5128
2020-03-23,-0.5102
2020-03-25,-2.0513
2020-03-26,4.7644
2020-03-31,0.6997
2020-04-07,-5.7072
2020-04-08,5.3158
2020-04-13,-2.049
2020-04-14,0.2551
2020-04-15,0.2545
2020-04-16,0.0
2020-04-17,1.5228000000000002
2020-04-20,-1.5
2020-04-21,0.0
2020-04-22,0.0508
2020-04-23,-2.5875
2020-04-24,2.0833
2020-04-27,-3.0612
2020-05-01,5.3158
2020-05-05,-2.049
2020-05-06,2.551
2020-05-08,0.0
2020-05-11,-1.4925
2020-05-13,1.2626
2020-05-19,0.2494
2020-05-21,-0.0398
2020-05-26,-0.4579
2020-05-29,0.2
2020-06-01,0.0
2020-06-02,-0.0998
2020-06-03,0.0
2020-06-04,0.0
2020-06-05,0.0
2020-06-08,0.0
2020-06-10,0.0
2020-06-16,0.0
2020-06-22,0.0
2020-06-23,0.0999
2020-06-24,0.0
2020-06-25,0.0
2020-06-29,-0.1497
2020-06-30,0.05
2020-07-01,0.0
2020-07-06,0.0
2020-07-07,0.045
2020-07-08,-0.1448
2020-07-09,0.14
2020-07-10,0.01
2020-07-13,-0.0749
2020-07-14,0.0749
2020-07-15,0.0
2020-07-16,0.0
2020-07-17,-0.0499
2020-07-20,-0.04
2020-07-21,0.0
2020-07-22,0.04
2020-07-23,-0.05
2020-07-24,0.1
2020-07-27,0.0
2020-07-28,-0.0999
2020-07-29,0.1
2020-07-30,-0.0799
