ticker,MANH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,4.2373
2000-01-04,-2.439
2000-01-05,0.0
2000-01-06,-1.6667
2000-01-07,8.4746
2000-01-10,20.3125
2000-01-11,-10.3896
2000-01-12,2.1739
2000-01-13,-2.1277
2000-01-14,-7.971
2000-01-18,14.9606
2000-01-19,-1.3699
2000-01-20,2.7778
2000-01-21,2.3649
2000-01-24,-3.6304
2000-01-25,6.1644
2000-01-26,9.6774
2000-01-27,-3.5294
2000-01-28,-7.3171
2000-01-31,-6.5789
2000-02-01,0.7042
2000-02-02,8.3916
2000-02-03,7.7419
2000-02-04,2.9939999999999998
2000-02-07,6.3953
2000-02-08,7.1038
2000-02-09,51.0204
2000-02-10,-4.7297
2000-02-11,-9.9291
2000-02-14,-0.3937
2000-02-15,1.9763
2000-02-16,-1.5504
2000-02-17,-3.1496
2000-02-18,4.4715
2000-02-22,0.3891
2000-02-23,-3.4884
2000-02-24,2.4096
2000-02-25,0.3922
2000-02-28,1.5625
2000-02-29,4.2308
2000-03-01,10.7011
2000-03-02,4.6667
2000-03-03,2.5478
2000-03-06,11.1801
2000-03-07,5.0279
2000-03-08,1.5957
2000-03-09,0.5236
2000-03-10,-9.375
2000-03-13,-8.046
2000-03-14,-18.75
2000-03-15,11.538499999999999
2000-03-16,9.6552
2000-03-17,3.1447
2000-03-20,22.2561
2000-03-21,-2.7431
2000-03-22,-1.0256
2000-03-23,-2.0725
2000-03-24,5.8201
2000-03-27,8.0
2000-03-28,11.5741
2000-03-29,5.8091
2000-03-30,1.7647
2000-03-31,5.5877
2000-04-03,-7.2993
2000-04-04,-20.8661
2000-04-05,23.1343
2000-04-06,-7.0707
2000-04-07,3.4783
2000-04-10,-2.521
2000-04-11,-10.9914
2000-04-12,0.0
2000-04-13,-7.0218
2000-04-14,-13.5417
2000-04-17,-4.8193
2000-04-18,16.7722
2000-04-19,8.4011
2000-04-20,-11.75
2000-04-24,12.7479
2000-04-25,-2.5126
2000-04-26,-4.6392
2000-04-27,3.7838000000000003
2000-04-28,0.0
2000-05-01,-3.125
2000-05-02,-17.7419
2000-05-03,19.6078
2000-05-04,-1.0929
2000-05-05,0.5525
2000-05-08,0.8242
2000-05-09,0.8174
2000-05-10,0.0
2000-05-11,1.6216
2000-05-12,-12.5
2000-05-15,14.8936
2000-05-16,-4.7619
2000-05-17,-3.8889
2000-05-18,-10.6936
2000-05-19,8.4142
2000-05-22,4.4776
2000-05-23,-10.2857
2000-05-24,7.6433
