ticker,INNO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-05-31,47.0588
2013-06-03,20.0
2013-06-04,16.6667
2013-06-05,0.0
2013-06-06,0.0
2013-06-07,0.0
2013-06-11,0.0
2013-06-14,0.0
2013-06-17,0.0
2013-06-20,-2.8571
2013-06-21,2.9412000000000003
2013-06-24,0.0
2013-06-26,0.0
2013-07-01,0.0
2013-07-03,0.0
2013-07-08,0.0
2013-07-10,0.0
2013-07-12,0.0
2013-07-17,5.7143
2013-07-18,5.9459
2013-07-19,-45.1212
2013-07-22,-44.2185
2013-07-23,-41.6667
2013-07-24,12.857099999999999
2013-07-25,-31.6456
2013-07-26,-27.5463
2013-07-29,-11.8211
2013-07-30,-18.8406
2013-07-31,-1.7856999999999998
2013-08-01,-20.0
2013-08-02,2.2727
2013-08-05,-6.1111
2013-08-06,51.4793
2013-08-07,-37.5
2013-08-08,-4.375
2013-08-09,4.5752
2013-08-12,25.0
2013-08-13,-0.75
2013-08-14,-14.8615
2013-08-15,4.142
2013-08-16,-4.5455
2013-08-19,-20.5357
2013-08-20,0.7491
2013-08-21,-16.7286
2013-08-22,-12.9464
2013-08-23,10.7692
2013-08-26,4.6296
2013-08-27,-15.0442
2013-08-28,4.1667
2013-08-29,0.0
2013-08-30,20.0
2013-09-03,5.4167
2013-09-04,-14.6245
2013-09-06,15.7407
2013-09-09,-4.0
2013-09-10,-17.5
2013-09-12,20.202
2013-09-13,0.0
2013-09-16,-0.4202
2013-09-17,-12.2363
2013-09-18,3.8462
2013-09-19,31.9444
2013-09-20,-24.2105
2013-09-23,32.4074
2013-09-24,-16.0839
2013-09-25,13.3333
2013-09-26,-2.9412000000000003
2013-09-27,6.0606
2013-09-30,-15.0
2013-10-02,0.8403
2013-10-03,-5.8333
2013-10-04,9.7345
2013-10-07,16.9355
2013-10-08,-16.5517
2013-10-09,12.3967
2013-10-11,0.0
2013-10-16,17.647100000000002
2013-10-18,-28.125
2013-10-21,39.1304
2013-10-22,-27.5
2013-10-23,37.931
2013-10-24,0.0
2013-10-28,-25.0
2013-10-29,-3.3333
2013-10-30,37.931
2013-10-31,-7.5
2013-11-07,-18.9189
2013-11-08,0.0
2013-11-11,0.0
2013-11-12,0.0
2013-11-15,13.3333
2013-11-18,8.8235
2013-11-22,-21.6216
2013-11-25,-3.4483
2013-11-26,-14.2857
2013-11-27,-16.6667
2013-11-29,100.0
2013-12-02,-27.5
2013-12-03,-19.3966
2013-12-04,-14.4385
2013-12-05,-6.25
