ticker,VECO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.3672
2000-01-04,-3.1593
2000-01-05,-7.5549
2000-01-06,-4.9033999999999995
2000-01-07,-7.5
2000-01-10,3.7161999999999997
2000-01-11,0.1629
2000-01-12,13.4959
2000-01-13,1.1461000000000001
2000-01-14,3.3994
2000-01-18,6.8493
2000-01-19,0.3846
2000-01-20,0.0
2000-01-21,1.4049
2000-01-24,11.335
2000-01-25,1.3575
2000-01-26,5.3571
2000-01-27,-1.6949
2000-01-28,-3.4483
2000-01-31,-2.0089
2000-02-01,7.0615
2000-02-02,-0.7447
2000-02-03,3.7513
2000-02-04,1.4463
2000-02-07,-0.5092
2000-02-08,5.6295
2000-02-09,-6.0078
2000-02-10,-2.1649
2000-02-11,-1.3699
2000-02-14,17.9487
2000-02-15,1.087
2000-02-16,3.4050000000000002
2000-02-17,3.2929
2000-02-18,2.8523
2000-02-22,-0.4078
2000-02-23,-4.1769
2000-02-24,-0.1709
2000-02-25,0.0
2000-02-28,1.7979
2000-02-29,10.513
2000-03-01,19.6347
2000-03-02,-1.5267
2000-03-03,15.6331
2000-03-06,-1.8436
2000-03-07,3.8133
2000-03-08,-5.2632
2000-03-09,-0.8102
2000-03-10,-6.6511
2000-03-13,-5.0
2000-03-14,-10.0658
2000-03-15,-7.8274
2000-03-16,-0.9524
2000-03-17,6.9712
2000-03-20,1.8727
2000-03-21,-2.6471
2000-03-22,6.3444
2000-03-23,5.5398
2000-03-24,1.817
2000-03-27,0.3966
2000-03-28,-9.2166
2000-03-29,-9.4996
2000-03-30,-8.734
2000-03-31,3.9508
2000-04-03,-7.7703
2000-04-04,4.0293
2000-04-05,0.0
2000-04-06,1.0123
2000-04-07,4.7495
2000-04-10,-11.5641
2000-04-11,-0.7996
2000-04-12,-3.651
2000-04-13,1.3780000000000001
2000-04-14,-5.4369
2000-04-17,-4.5175
2000-04-18,10.5376
2000-04-19,-0.7782
2000-04-20,1.0784
2000-04-24,-11.9302
2000-04-25,12.5551
2000-04-26,0.3914
2000-04-27,0.7797
2000-04-28,-3.8685
2000-05-01,-3.2193
2000-05-02,1.2474
2000-05-03,1.6427
2000-05-04,-2.3232
2000-05-05,-2.3785
2000-05-08,-5.5085
2000-05-09,-6.7265
2000-05-10,-5.7692
2000-05-11,-0.5102
2000-05-12,2.0513
2000-05-15,-0.7538
2000-05-16,5.1899
2000-05-17,-3.6101
2000-05-18,-3.6205
2000-05-19,-7.513
2000-05-22,-1.9607999999999999
