ticker,KTRA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-02-25,0.5882
2013-02-26,1.7544
2013-02-27,95.4023
2013-02-28,-35.2941
2013-03-01,-4.5455
2013-03-05,0.0
2013-03-06,16.6667
2013-03-07,0.0
2013-03-08,0.0
2013-03-11,-8.1633
2013-03-12,-20.0
2013-03-13,25.0
2013-03-14,-17.7778
2013-03-15,7.5676
2013-03-18,0.0
2013-03-19,-20.1005
2013-03-20,-5.6604
2013-03-21,-6.6667
2013-03-22,0.0
2013-03-25,4.2857
2013-03-26,6.1644
2013-03-27,0.6452
2013-03-28,-1.2821
2013-04-01,7.1429
2013-04-02,3.0303
2013-04-03,2.9412000000000003
2013-04-04,0.0
2013-04-05,2.8571
2013-04-09,2.7778
2013-04-10,1.0811
2013-04-11,-0.5348
2013-04-12,-0.5376
2013-04-15,0.0
2013-04-17,2.7027
2013-04-19,0.0
2013-04-24,1.0526
2013-04-25,6.7708
2013-04-30,0.0
2013-05-02,-5.3659
2013-05-03,0.5155
2013-05-06,0.0
2013-05-07,7.1795
2013-05-08,-6.2201
2013-05-09,14.2857
2013-05-10,-1.7856999999999998
2013-05-13,1.8182
2013-05-14,0.4464
2013-05-15,-0.4444
2013-05-16,0.0
2013-05-17,9.375
2013-05-20,-14.2857
2013-05-22,-4.7619
2013-05-23,0.0
2013-05-24,7.5
2013-05-28,1.8605
2013-05-29,-4.1096
2013-05-30,7.1429
2013-05-31,2.2222
2013-06-03,1.3043
2013-06-04,-16.309
2013-06-05,7.6923
2013-06-07,-4.7619
2013-06-10,0.0
2013-06-14,10.0
2013-06-17,0.0
2013-06-18,-9.0909
2013-06-20,10.0
2013-06-21,-4.5455
2013-06-26,-4.7619
2013-06-28,5.0
2013-07-01,-22.8571
2013-07-02,1.8519
2013-07-03,-3.0303
2013-07-05,0.0
2013-07-08,-25.0
2013-07-09,-4.1667
2013-07-10,0.0
2013-07-11,4.3478
2013-07-12,-8.3333
2013-07-15,-9.0909
2013-07-16,10.0
2013-07-17,4.5455
2013-07-18,-4.3478
2013-07-19,0.0
2013-07-23,0.0
2013-07-24,0.0
2013-07-25,1.8182
2013-07-26,1.7856999999999998
2013-07-29,0.8772
2013-07-31,0.0
2013-08-01,4.3478
2013-08-02,4.1667
2013-08-05,-8.0
2013-08-06,-12.1739
2013-08-07,13.8614
2013-08-08,-6.9565
2013-08-09,-1.8692
2013-08-12,5.7143
2013-08-13,2.7027
2013-08-14,0.0
2013-08-15,-7.8947
2013-08-16,6.6667
