ticker,ABML US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-02-25,0.0
2016-02-26,17.1429
2016-02-29,4.878
2016-03-03,-6.9767
2016-03-04,12.5
2016-03-07,11.1111
2016-05-13,-26.0
2016-05-17,-32.3986
2016-05-27,259.8201
2016-06-06,3.3333
2016-06-07,4.6371
2016-06-08,28.4522
2016-06-09,4.0
2016-06-10,6.9231
2016-06-13,7.1223
2016-06-14,10.8126
2016-06-15,-1.8182
2016-06-16,1.8519
2016-06-17,0.2424
2016-06-20,-2.0556
2016-06-21,-6.1728
2016-06-22,2.6316
2016-06-23,0.641
2016-06-24,-5.0955
2016-06-27,8.7248
2016-06-28,1.2346
2016-06-29,-3.0488
2016-06-30,-2.3192
2016-07-01,-9.8592
2016-07-05,-2.8571
2016-07-06,-9.5588
2016-07-07,-2.439
2016-07-08,-0.8333
2016-07-11,21.397100000000002
2016-07-12,12.1398
2016-07-13,7.4074
2016-07-14,3.4483
2016-07-15,-4.4444
2016-07-18,10.4651
2016-07-19,0.5263
2016-07-20,-12.0419
2016-07-21,4.1667
2016-07-22,4.5714
2016-07-25,-4.3716
2016-07-26,1.1429
2016-07-27,2.2599
2016-07-28,-18.232
2016-07-29,-21.6216
2016-08-01,6.0345
2016-08-02,8.9431
2016-08-03,-2.2388
2016-08-04,-9.1603
2016-08-05,-9.2437
2016-08-08,3.7037
2016-08-09,4.4643
2016-08-10,-4.2735
2016-08-11,0.0
2016-08-12,-8.9286
2016-08-15,0.0
2016-08-16,-13.2353
2016-08-17,-14.6893
2016-08-18,-15.2318
2016-08-19,32.8125
2016-08-22,-17.647100000000002
2016-08-23,4.2143
2016-08-24,-3.2214
2016-08-25,-1.983
2016-08-26,4.0462
2016-08-29,-2.0833
2016-08-30,4.539
2016-08-31,-18.5889
2016-09-01,-21.6667
2016-09-02,27.6596
2016-09-06,-5.0
2016-09-07,-12.7851
2016-09-08,-21.5489
2016-09-09,3.8462
2016-09-12,-5.679
2016-09-13,2.0124
2016-09-14,-5.3087
2016-09-15,5.6911000000000005
2016-09-16,-13.8462
2016-09-19,-32.7381
2016-09-20,-9.292
2016-09-21,4.3293
2016-09-22,3.9451
2016-09-23,29.3225
2016-09-26,29.0435
2016-09-27,5.1213
2016-09-28,24.6154
2016-09-29,22.428
2016-09-30,-8.4034
2016-10-03,-12.844
2016-10-04,-20.0
2016-10-05,13.1579
2016-10-06,-4.6512
2016-10-07,2.439
2016-10-10,1.1905000000000001
2016-10-11,-4.7059
