ticker,MLLS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,66.6667
2000-01-05,0.0
2000-02-07,-60.0
2000-02-11,-50.0
2000-02-25,100.0
2000-03-08,0.0
2000-06-07,50.0
2000-08-07,0.0
2000-08-10,-33.3333
2000-08-17,50.0
2000-08-18,-16.6667
2000-08-23,-20.0
2000-08-24,25.0
2000-08-25,60.0
2000-08-29,212.5
2000-09-06,-72.0
2000-09-15,0.0
2000-09-18,14.2857
2000-09-20,25.0
2000-10-24,0.0
2000-11-27,0.0
2000-12-07,0.0
2000-12-18,0.0
2000-12-20,0.0
2000-12-22,-10.0
2000-12-27,0.0
2001-01-22,11.1111
2001-02-06,60.0
2001-02-16,-25.0
2001-03-09,-16.6667
2001-04-09,0.0
2001-04-16,5.0
2001-04-17,-23.8095
2001-05-24,0.0
2001-07-03,0.0
2001-07-05,0.0
2001-08-15,50.0
2001-09-07,0.0
2001-11-09,0.0
2001-11-20,0.0
2001-12-04,0.0
2001-12-11,0.0
2001-12-19,0.0
2001-12-27,0.0
2001-12-31,33.3333
2002-01-31,-37.5
2002-02-01,0.0
2002-03-12,0.0
2002-07-02,0.0
2002-07-08,-20.0
2002-07-23,0.0
2002-08-01,1175.0
2002-08-22,-88.2353
2002-08-26,0.0
2002-09-12,16.6667
2002-09-18,0.0
2002-09-19,0.0
2002-10-09,-14.2857
2002-10-10,-66.6667
2002-10-29,0.0
2002-11-12,0.0
2002-11-19,0.0
2002-12-20,0.0
2003-01-15,0.0
2003-03-07,0.0
2003-03-20,0.0
2003-04-07,0.0
2003-05-15,0.0
2003-05-29,0.0
2003-06-04,0.0
2003-06-26,0.0
2003-07-18,0.0
2003-09-05,0.0
2003-09-08,0.0
2003-11-11,0.0
2003-12-31,100.0
2004-03-26,75.0
2004-04-27,0.0
2004-05-03,0.0
2004-05-17,0.0
2004-07-09,0.0
2004-08-24,-28.5714
2004-09-17,0.0
2004-10-11,0.0
2004-10-21,0.0
2005-02-16,0.0
2005-02-17,0.0
2005-02-25,0.0
2005-03-03,0.0
2005-04-01,0.0
2005-07-21,40.0
2005-07-22,-28.5714
2005-08-31,10.0
2005-09-19,172.7273
2005-09-21,33.3333
2005-09-22,0.0
2005-09-23,-25.0
2005-10-17,-16.6667
2005-11-25,-20.0
2005-11-28,50.0
2005-12-01,-33.3333
2005-12-12,0.0
2005-12-14,10.0
2005-12-20,-18.1818
2006-01-24,0.0
2006-03-15,0.0
2006-04-26,0.0
2006-05-08,0.0
