ticker,HCFT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-03-22,-3.3333
2013-03-25,-0.069
2013-03-26,0.8282
2013-03-27,-0.7529
2013-03-28,0.8966
2013-04-01,0.6835
2013-04-02,0.8147
2013-04-03,-0.3367
2013-04-04,0.2703
2013-04-05,0.6739
2013-04-08,0.0
2013-04-09,0.0
2013-04-10,0.4016
2013-04-11,-0.3333
2013-04-12,0.5351
2013-04-15,-1.3972
2013-04-16,1.4845
2013-04-17,-0.0665
2013-04-18,0.2661
2013-04-19,0.4016
2013-04-22,-0.0667
2013-04-23,0.1334
2013-04-24,0.2665
2013-04-25,-0.0664
2013-04-26,0.133
2013-04-29,0.2656
2013-04-30,0.0
2013-05-01,-0.1987
2013-05-02,0.7299
2013-05-03,1.6469
2013-05-06,-0.2592
2013-05-07,0.6498
2013-05-08,-0.7101
2013-05-09,1.3654
2013-05-10,0.3849
2013-05-13,-1.5335
2013-05-14,-0.7213
2013-05-15,-0.6605
2013-05-16,0.133
2013-05-17,0.4648
2013-05-20,-0.5948
2013-05-21,-0.5319
2013-05-22,-0.6016
2013-05-23,-1.6139999999999999
2013-05-24,-0.2734
2013-05-28,-8.2934
2013-05-29,2.8401
2013-05-30,-0.2907
2013-05-31,1.4577
2013-06-03,-2.658
2013-06-04,0.0
2013-06-05,-2.0959
2013-06-06,1.3115999999999999
2013-06-07,1.7856999999999998
2013-06-10,0.2924
2013-06-11,-2.1866
2013-06-12,1.0432
2013-06-13,0.3731
2013-06-14,0.223
2013-06-17,-2.1513
2013-06-18,-0.1516
2013-06-19,-1.2908
2013-06-20,-7.8462
2013-06-21,0.3339
2013-06-24,1.1647
2013-06-25,2.4671
2013-06-26,1.4445999999999999
2013-06-27,0.0791
2013-06-28,3.8735
2013-07-01,1.1416
2013-07-02,-1.2039
2013-07-03,-0.9891
2013-07-05,-3.6932
2013-07-08,0.3195
2013-07-09,0.3981
2013-07-10,-0.0793
2013-07-11,2.7778
2013-07-12,-1.8765
2013-07-15,-0.3187
2013-07-16,-0.7194
2013-07-17,0.8857
2013-07-18,0.9577
2013-07-19,0.0
2013-07-22,-2.1344
2013-07-23,-0.4847
2013-07-24,0.7305
2013-07-25,2.498
2013-07-26,-0.1572
2013-07-29,-1.1024
2013-07-30,3.1051
2013-07-31,-0.6178
2013-08-01,-1.0101
2013-08-02,1.6484
2013-08-05,1.8533
2013-08-06,-2.9568
2013-08-07,-7.1875
2013-08-08,2.4411
2013-08-09,1.5941
2013-08-12,-1.3264
