ticker,MINE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-03-17,-30.1876
2010-04-26,47.775
2010-05-20,2.2727
2010-05-21,-63.3333
2010-05-24,36.3636
2010-05-25,-46.6667
2010-05-26,161.25
2010-05-27,-8.134
2010-05-28,4.1667
2010-06-01,-30.0
2010-06-02,-4.2857
2010-06-03,-4.4776
2010-06-04,-17.1875
2010-06-07,-24.5283
2010-06-08,-2.5
2010-06-09,-22.7564
2010-06-10,39.4191
2010-06-11,7.1429
2010-06-14,-11.1111
2010-06-15,0.0
2010-06-16,-2.5
2010-06-17,-7.6923
2010-06-18,11.1111
2010-06-21,-12.5
2010-06-22,-0.3571
2010-06-23,-21.147
2010-06-24,0.0
2010-06-25,0.0
2010-06-28,46.5909
2010-06-29,-24.031
2010-06-30,-23.2653
2010-07-01,4.2553
2010-07-02,-2.0408
2010-07-06,0.0
2010-07-07,-12.5
2010-07-08,-4.7619
2010-07-09,0.625
2010-07-12,-0.6211
2010-07-13,-7.5
2010-07-14,-12.5
2010-07-15,-7.3359
2010-07-16,33.3333
2010-07-19,-19.0625
2010-07-20,-6.1776
2010-07-21,3.2922000000000002
2010-07-22,-2.3904
2010-07-23,-2.0408
2010-07-26,-7.5
2010-07-27,-4.0541
2010-07-28,-9.8592
2010-07-29,7.2917
2010-07-30,-3.8834999999999997
2010-08-02,-7.0707
2010-08-03,1.087
2010-08-04,3.2258
2010-08-05,-16.6667
2010-08-06,15.0
2010-08-09,-21.7391
2010-08-10,-1.3889
2010-08-11,-8.4507
2010-08-12,2.3077
2010-08-13,8.2707
2010-08-16,0.0
2010-08-17,11.1111
2010-08-18,20.0
2010-08-19,4.1667
2010-08-20,-16.0
2010-08-23,-4.7619
2010-08-24,5.0
2010-08-25,14.2857
2010-08-26,-8.3333
2010-08-27,7.3864
2010-08-30,-6.8783
2010-08-31,0.0
2010-09-01,-4.5455
2010-09-02,4.7619
2010-09-03,-1.1364
2010-09-07,-17.2414
2010-09-08,-1.3889
2010-09-09,-4.2254
2010-09-10,8.0882
2010-09-13,-7.483
2010-09-14,-5.8824
2010-09-15,-3.9063
2010-09-16,49.5935
2010-09-17,-21.7391
2010-09-20,0.0
2010-09-21,-3.4722
2010-09-22,-9.3525
2010-09-23,-2.3810000000000002
2010-09-24,10.5691
2010-09-27,4.4118
2010-09-28,-14.0845
2010-09-29,4.918
2010-09-30,-2.3438
2010-10-01,-6.4
2010-10-04,2.5641
2010-10-05,-13.3333
2010-10-06,0.0
