ticker,CCUR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-6.689
2000-01-04,-3.5842
2000-01-05,-1.1152
2000-01-06,0.0
2000-01-07,-0.3759
2000-01-10,7.5472
2000-01-11,1.0526
2000-01-12,1.3889
2000-01-13,-0.6849
2000-01-14,1.3793
2000-01-18,1.0204
2000-01-19,6.3972999999999995
2000-01-20,21.8354
2000-01-21,-2.5974
2000-01-24,-5.8667
2000-01-25,0.5666
2000-01-26,-2.2535
2000-01-27,-3.4582
2000-01-28,-6.8657
2000-01-31,-3.2051
2000-02-01,-4.6358
2000-02-02,1.3889
2000-02-03,2.3973
2000-02-04,-0.3344
2000-02-07,-0.3356
2000-02-08,-2.3569
2000-02-09,-0.6897
2000-02-10,-1.7361
2000-02-11,-3.8869
2000-02-14,-4.0441
2000-02-15,-1.9157
2000-02-16,-2.7344
2000-02-17,-0.4016
2000-02-18,-6.8548
2000-02-22,-4.7619
2000-02-23,15.4545
2000-02-24,16.9291
2000-02-25,2.6936
2000-02-28,-1.6393
2000-02-29,-4.6667
2000-03-01,-4.8951
2000-03-02,-6.25
2000-03-03,1.1764999999999999
2000-03-06,-0.3876
2000-03-07,4.2802
2000-03-08,-1.1194
2000-03-09,9.8113
2000-03-10,7.2165
2000-03-13,0.641
2000-03-14,0.0
2000-03-15,-9.2357
2000-03-16,-1.0526
2000-03-17,-8.8652
2000-03-20,-12.0623
2000-03-21,2.6549
2000-03-22,9.4828
2000-03-23,-0.7874
2000-03-24,-8.3333
2000-03-27,-1.2987
2000-03-28,1.3158
2000-03-29,-5.6277
2000-03-30,-7.3394
2000-03-31,0.495
2000-04-03,-12.3153
2000-04-04,-16.2921
2000-04-05,11.4094
2000-04-06,4.8193
2000-04-07,1.1494
2000-04-10,-9.6591
2000-04-11,-13.2075
2000-04-12,-4.3478
2000-04-13,-9.8485
2000-04-14,-14.2857
2000-04-17,1.9607999999999999
2000-04-18,8.6538
2000-04-19,14.1593
2000-04-20,-5.4264
2000-04-24,-12.2951
2000-04-25,47.6636
2000-04-26,-8.2278
2000-04-27,26.8966
2000-04-28,-13.0435
2000-05-01,16.875
2000-05-02,9.6257
2000-05-03,-13.1707
2000-05-04,-3.3708
2000-05-05,1.7442
2000-05-08,-3.4286
2000-05-09,-3.5503
2000-05-10,-3.0675
2000-05-11,-2.5316
2000-05-12,2.5974
2000-05-15,1.2658
2000-05-16,5.625
2000-05-17,-5.3254
2000-05-18,-1.875
2000-05-19,-9.2357
2000-05-22,-8.0702
