ticker,GWOX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-03-13,-0.8403
2000-03-14,-3.3898
2000-03-15,-2.6316
2000-03-17,-4.5045
2000-03-22,0.0
2000-11-03,-0.858
2000-12-07,1.3645
2000-12-08,0.9615
2001-03-08,10.9524
2001-03-09,0.8584
2001-03-27,0.0
2001-09-26,1.6364999999999998
2002-02-25,3.5593
2002-02-26,1.1457
2002-08-01,2.7508
2002-09-27,-1.5748
2002-10-02,-2.4
2002-10-03,0.8197
2003-01-10,-1.2346
2003-02-18,2.5
2003-07-01,23.4568
2003-09-10,5.3333
2003-11-17,-2.2152
2003-11-25,0.9709
2003-11-26,1.0256
2004-01-29,0.0
2004-02-11,5.1282
2004-02-19,0.0
2004-02-23,0.0
2004-02-25,3.6585
2004-02-26,0.0
2004-06-14,3.3254
2004-07-23,4.5977
2004-11-15,10.989
2004-12-20,-1.0989
2005-01-21,1.0101
2005-03-07,-1.0
2005-04-21,1.0101
2005-07-07,26.1352
2005-08-11,-14.4
2005-09-06,0.0
2005-09-07,2.8037
2005-09-08,0.0
2005-09-12,-3.6364
2005-09-14,2.8302
2005-09-23,1.8349
2005-10-06,-4.5045
2005-12-06,3.5156
2005-12-13,0.9434
2005-12-15,2.8037
2005-12-19,2.7273
2006-01-03,6.1947
2006-01-12,-2.5
2006-03-20,2.5641
2006-04-04,0.0
2006-04-07,4.1667
2006-05-08,-3.2258
2006-05-10,2.9167
2006-05-15,-1.6194
2006-10-20,2.8807
2006-10-24,1.6
2006-11-06,0.7874
2007-01-10,1.5748
2007-01-23,1.5504
2007-04-16,0.7634
2007-06-12,1.9231
2007-06-14,1.5093999999999999
2007-07-17,0.7435
2007-09-14,-0.369
2007-10-03,1.8519
2007-12-14,-0.9158
2007-12-31,1.2939
2008-01-02,1.0949
2008-01-14,-1.083
2008-01-17,1.4599
2008-01-22,-1.4388
2008-01-23,-1.4599
2008-04-22,-3.963
2008-09-16,1.0493999999999999
2008-09-18,-7.6923
2008-09-19,-3.125
2008-09-23,3.2258
2008-10-10,-15.0
2008-10-14,-0.9804
2008-10-15,-13.8614
2008-10-16,0.5747
2008-10-17,8.3314
2008-10-31,-5.0533
2009-04-22,1.1236
2009-04-30,-19.9888
2009-11-23,-1.8916
2009-11-24,0.4713
2009-11-30,-6.2725
2009-12-01,6.1538
2009-12-29,10.1449
2010-01-05,1.3158
2010-01-06,0.0
2010-01-21,-7.4675
2010-05-17,-3.2028
2010-05-24,0.7353
2010-05-25,-5.1095
2010-09-15,10.7538
2010-09-28,11.1265
2010-10-11,0.0
2010-10-13,-7.5
2010-11-17,-2.7027
2010-11-18,6.9444
2010-12-28,-2.6316
2010-12-29,-2.7027
2011-03-22,0.0
2011-03-23,0.6944
2011-03-30,2.7586
2011-04-20,0.0
2011-06-06,0.6803
2011-06-07,0.0
2011-11-07,-4.0541
2011-12-12,0.8523
2011-12-13,0.0
2012-02-29,19.7183
2012-03-20,-11.7647
2012-03-21,-4.0
2012-04-13,14.5833
2012-07-02,-7.43
2012-07-03,-4.6053
2012-07-26,-0.331
2012-08-03,-0.0138
2012-08-06,0.346
2013-04-23,11.8881
2013-05-03,-5.0633
2013-07-30,6.6667
2013-07-31,0.0
2013-08-12,0.0
2013-08-14,-1.875
2013-09-27,8.2803
2013-12-10,0.0
2014-02-07,-5.2133
2014-06-25,-1.2563
2014-10-08,3.0534
2014-12-09,-1.25
2015-02-25,0.0
2017-01-30,-7.6667
2017-03-15,-2.5271
2017-03-20,3.5556
2017-04-18,-1.2876
2017-06-05,0.0
2017-06-26,2.2059
2017-09-21,7.9137
2017-12-14,11.194
2018-02-07,27.5168
2018-03-07,4.2105
2018-03-12,-4.0404
2018-03-21,15.7895
2018-06-21,0.9434
2018-06-22,-0.7009
2018-06-26,0.7059
2018-12-04,1.9048
2019-04-02,40.1869
2019-04-04,0.0
2019-04-05,0.0
2019-04-09,0.0
2019-04-11,-0.1333
2019-04-12,0.1335
2019-04-15,0.0
2019-04-16,0.0
2019-04-30,2.7027
2019-11-04,7.2368
2019-11-05,-9.816
2019-11-26,-4.0816
2019-12-26,24.1135
2020-03-16,-19.4286
2020-03-18,0.0
2020-03-20,0.0
2020-03-23,-4.9645
2020-03-31,4.8507
2020-04-01,0.0001
2020-04-08,24.5552
2020-04-09,11.4286
2020-06-23,-7.9324
2020-07-01,-9.6045
