ticker,GLBS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-05-15,24.1535
2008-09-02,-29.5455
2008-10-24,-72.4995
2008-12-17,-55.0
2008-12-22,0.0
2008-12-23,4.4444
2008-12-29,-4.2553
2009-01-13,-15.5556
2009-02-03,-34.2105
2009-02-09,120.0
2009-03-06,-13.6364
2009-05-11,15.7895
2009-08-04,-4.5455
2009-08-13,-4.7619
2009-09-15,-2.0
2009-09-22,1.5306
2009-10-13,10.5528
2009-10-14,0.0
2009-11-10,-15.4545
2010-01-12,66.6667
2010-01-25,6.4516
2010-01-26,-3.0303
2010-02-22,9.375
2010-11-10,43.6571
2010-11-26,24.0632
2010-11-29,2.0408
2010-11-30,0.0
2010-12-01,-2.0
2010-12-02,1.7143000000000002
2010-12-03,1.1236
2010-12-06,0.0
2010-12-07,-0.873
2010-12-08,-2.9624
2010-12-09,3.5479000000000003
2010-12-10,-2.7888
2010-12-13,-1.8852
2010-12-14,1.7544
2010-12-15,3.1199
2010-12-16,1.0484
2010-12-17,-4.2298
2010-12-20,-8.4167
2010-12-21,1.3649
2010-12-22,-9.7846
2010-12-23,-2.6866
2010-12-27,5.317
2010-12-28,-9.4175
2010-12-29,2.358
2010-12-30,-3.8743
2010-12-31,-1.3072
2011-01-03,7.3951
2011-01-04,2.261
2011-01-05,4.0201
2011-01-06,-0.6763
2011-01-07,-1.6537
2011-01-10,-1.7804
2011-01-11,-1.3092
2011-01-12,2.0408
2011-01-13,-1.9
2011-01-14,0.4077
2011-01-18,-1.4213
2011-01-19,-0.103
2011-01-20,-0.5155
2011-01-21,0.2073
2011-01-24,0.3102
2011-01-25,-0.4124
2011-01-26,-0.207
2011-01-28,-4.0456
2011-01-31,-1.5135
2011-02-02,4.6618
2011-02-03,-1.098
2011-02-04,-4.4539
2011-02-07,2.8857
2011-02-08,-0.7551
2011-02-09,-2.1739
2011-02-10,-1.1111
2011-02-11,1.1236
2011-02-14,-3.3333
2011-02-16,5.7471
2011-02-17,-0.6522
2011-02-18,-0.3282
2011-02-22,-1.3172
2011-02-24,1.3348
2011-02-25,-12.843
2011-02-28,12.0907
2011-03-02,0.5618
2011-03-03,-6.5922
2011-03-04,3.7081
2011-03-08,2.4677
2011-03-11,-3.3257
2011-03-14,0.7117
2011-03-16,0.0
2011-03-17,-0.1178
2011-03-22,-4.717
2011-03-23,-0.3713
2011-03-24,-0.6211
2011-03-25,4.875
2011-03-28,5.9595
2011-03-29,-3.2621
2011-03-30,0.9302
