ticker,FDHC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,2.8571
2000-01-05,-11.1111
2000-01-11,-6.25
2000-01-13,16.6667
2000-01-14,-20.0
2000-01-18,34.2857
2000-01-19,17.0213
2000-01-21,-9.0909
2000-01-24,-30.0
2000-01-25,42.8571
2000-01-28,25.0
2000-01-31,24.8
2000-02-01,-35.8974
2000-02-02,50.0
2000-02-04,0.0
2000-02-07,-50.0
2000-02-08,60.0
2000-02-09,16.6667
2000-02-10,-7.1429
2000-02-11,20.0
2000-02-14,0.0
2000-02-15,-10.2564
2000-02-16,31.4286
2000-02-17,8.6957
2000-02-18,0.0
2000-02-22,6.25
2000-02-23,-4.9412
2000-02-24,-10.8911
2000-02-25,-22.2222
2000-02-28,25.0
2000-02-29,13.1429
2000-03-01,-14.1414
2000-03-02,17.647100000000002
2000-03-03,5.0
2000-03-06,28.5714
2000-03-07,33.3333
2000-03-08,-2.7778
2000-03-09,-50.0
2000-03-10,82.8571
2000-03-13,0.0
2000-03-14,3.125
2000-03-15,-6.0606
2000-03-16,-3.2258
2000-03-17,-20.0
2000-03-20,25.0
2000-03-21,-25.0
2000-03-22,0.0
2000-03-23,15.5556
2000-03-24,-3.8462
2000-03-27,-20.0
2000-03-28,3.0
2000-03-29,1.9417
2000-03-30,-28.5714
2000-03-31,66.6667
2000-04-03,4.0
2000-04-05,-13.8462
2000-04-07,0.0
2000-04-12,33.9286
2000-04-13,-8.3333
2000-04-14,0.0
2000-04-17,-22.7273
2000-04-18,-5.8824
2000-04-20,0.0
2000-04-24,0.0
2000-04-25,-10.0
2000-04-26,-16.6667
2000-04-27,20.0
2000-04-28,11.1111
2000-05-04,-25.0
2000-05-05,-5.3333
2000-05-09,-1.4085
2000-05-17,-7.1429
2000-05-18,30.7692
2000-05-19,-23.5294
2000-05-25,-15.3846
2000-05-31,18.1818
2000-06-14,5.7692
2000-06-20,-11.2727
2000-06-27,-14.7541
2000-06-28,0.0
2000-06-29,-3.8462
2000-07-06,-4.0
2000-07-07,0.0
2000-07-11,-2.3437
2000-07-12,33.3333
2000-07-13,-10.0
2000-07-14,0.0
2000-07-19,-9.3333
2000-07-20,-11.7647
2000-07-21,13.3333
2000-07-24,10.2941
2000-07-27,-9.3333
2000-08-01,-11.7647
2000-08-02,0.0
2000-08-03,-16.6667
2000-08-04,-20.0
2000-08-07,26.6667
2000-08-08,13.1579
2000-08-10,74.4186
2000-08-11,40.0
2000-08-14,-28.5714
2000-08-15,0.0
