ticker,OJOC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-11-12,4.8276
2003-11-21,3.9474
2005-03-28,56.1181
2006-11-10,160.8108
2006-11-13,-3.6269
2007-04-05,-0.5376
2007-04-12,-0.7568
2007-07-18,-1.4161000000000001
2007-08-13,-0.5525
2008-06-18,18.3333
2008-07-17,-4.8169
2008-07-18,1.8546
2008-10-17,0.7264
2008-10-27,-13.461500000000001
2009-09-03,26.6667
2014-06-17,17.5439
2014-07-01,2.9851
2014-07-03,0.0
2014-07-11,1.087
2014-07-14,0.0
2014-09-03,0.3584
2014-09-11,6.7857
2014-09-24,-6.3545
2014-09-26,0.0
2014-09-29,-14.2857
2014-09-30,6.6667
2014-10-02,-12.5
2014-10-03,4.4643
2014-11-03,-2.547
2014-11-19,2.6136
2014-12-18,-2.547
2014-12-29,0.0
2014-12-30,1.7365
2014-12-31,0.0
2015-04-16,-3.431
2015-04-24,1.7675
2015-04-28,-1.6667
2015-06-02,-3.2114
2015-06-03,0.0
2015-06-22,-0.4608
2015-06-23,-0.1852
2015-08-11,-2.5974
2015-12-16,12.7746
2016-04-06,3.4483
2016-06-23,-3.3333
2017-02-07,5.6338
2017-03-16,-11.1667
2017-03-21,-0.5629
2017-03-23,3.7736
2017-03-31,9.0909
2018-03-20,-3.6596
2018-04-20,23.6749
2018-08-22,0.1431
2019-09-20,62.3994
2019-11-04,0.0
2020-02-13,-22.3235
2020-02-18,-6.1584
2020-07-01,25.6281
