ticker,BSRC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-02-27,0.0
2007-02-28,-25.0
2007-03-01,46.6667
2007-03-02,0.0
2007-03-06,0.0
2007-03-12,0.0
2007-03-14,-4.5455
2007-03-15,4.7619
2007-03-19,0.0
2007-03-20,0.0
2007-03-21,-18.1818
2007-03-23,22.2222
2007-03-27,0.0
2007-03-29,0.0
2007-03-30,0.0
2007-04-02,0.0
2007-04-03,13.6364
2007-04-04,0.0
2007-04-05,0.0
2007-04-09,8.0
2007-04-10,-3.7037
2007-04-13,7.6923
2007-04-16,0.0
2007-04-17,0.0
2007-04-18,17.8571
2007-04-19,-9.0909
2007-04-20,3.3333
2007-04-23,5.2016
2007-04-24,1.1882
2007-04-25,3.0303
2007-04-26,-2.9412000000000003
2007-04-27,3.0303
2007-04-30,0.0
2007-05-01,-8.8235
2007-05-02,3.2258
2007-05-03,0.0
2007-05-04,-6.25
2007-05-08,0.0
2007-05-09,6.6667
2007-05-10,-3.125
2007-05-11,-25.8065
2007-05-14,30.4348
2007-05-15,-16.6667
2007-05-16,0.0
2007-05-18,-4.0
2007-05-21,0.0
2007-05-22,20.8333
2007-05-23,0.0
2007-05-24,0.0
2007-05-25,10.3448
2007-05-29,0.0
2007-05-30,0.0
2007-05-31,-12.5
2007-06-01,10.7143
2007-06-04,3.2258
2007-06-05,-6.25
2007-06-06,-6.6667
2007-06-07,14.2857
2007-06-08,-12.5
2007-06-11,-10.7143
2007-06-13,8.0
2007-06-14,11.1111
2007-06-18,-20.0
2007-06-19,25.0
2007-06-20,-16.6667
2007-06-22,16.0
2007-06-25,3.4483
2007-06-27,6.6667
2007-06-28,-6.25
2007-06-29,13.3333
2007-07-02,0.0
2007-07-03,0.0
2007-07-05,0.0
2007-07-06,-11.7647
2007-07-10,0.0
2007-07-11,16.6667
2007-07-12,0.0
2007-07-13,0.0
2007-07-16,0.0
2007-07-17,0.0
2007-07-18,-2.8571
2007-07-19,-2.9412000000000003
2007-07-23,6.0606
2007-07-24,11.4286
2007-07-26,-10.2564
2007-07-30,0.0
2007-08-03,-2.8571
2007-08-06,-14.7059
2007-08-09,3.4483
2007-08-10,0.0
2007-08-13,-8.0
2007-08-14,-0.3623
2007-08-15,-1.8182
2007-08-17,0.0
2007-08-20,3.7037
2007-08-21,14.2857
2007-08-22,6.25
2007-08-23,-26.4706
2007-08-24,0.0
2007-08-28,24.0
2007-08-29,0.0
2007-08-30,-16.129
2007-08-31,0.0
2007-09-04,15.3846
