ticker,OLMM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-10-13,-52.5
2017-11-22,150.0
2017-11-24,7.3684
2017-11-28,0.9804
2017-11-29,-0.4854
2017-11-30,6.8293
2017-12-04,0.4566
2017-12-05,-9.0909
2017-12-06,-0.5
2017-12-07,-0.5025
2017-12-08,0.5051
2017-12-11,-24.6231
2017-12-12,-46.0
2017-12-13,1.2346
2017-12-15,-1.2195
2017-12-18,-1.2346
2017-12-19,2.5
2017-12-20,1.2195
2017-12-21,1.2048
2017-12-22,1.1905000000000001
2017-12-26,-1.1764999999999999
2017-12-27,0.0
2017-12-28,1.1905000000000001
2017-12-29,-1.1764999999999999
2018-01-02,0.0
2018-01-04,0.0
2018-01-08,0.0
2018-01-09,0.0
2018-01-10,0.0
2018-01-11,-5.9524
2018-01-12,1.2658
2018-01-16,1.25
2018-01-17,-1.2346
2018-01-18,0.0
2018-01-19,0.0
2018-01-22,7.5
2018-01-23,4.6512
2018-01-24,2.2222
2018-01-25,0.0
2018-01-26,0.0
2018-01-29,4.3478
2018-01-30,2.0833
2018-01-31,0.0
2018-02-01,6.1224
2018-02-02,3.8462
2018-02-05,5.5556
2018-02-06,0.8772
2018-02-07,2.6087
2018-02-08,-0.8475
2018-02-09,3.4188
2018-02-12,3.3058
2018-02-13,0.0
2018-02-14,-6.4
2018-02-15,-5.9829
2018-02-16,5.4545
2018-02-20,5.1724
2018-02-21,8.1967
2018-02-22,6.8182
2018-02-23,3.5461
2018-02-26,1.3699
2018-02-27,4.0541
2018-02-28,-11.6883
2018-03-01,2.9412000000000003
2018-03-02,1.4285999999999999
2018-03-05,4.9296
2018-03-06,-4.698
2018-03-07,-7.7465
2018-03-08,2.2901
2018-03-09,-69.3806
2018-03-12,-58.5669
2018-03-13,-22.9412
2018-03-14,136.6412
2018-03-15,-16.129
2018-03-16,-34.7308
2018-03-19,11.9623
2018-03-20,0.0
2018-03-21,18.4211
2018-03-22,-33.3333
2018-03-23,53.3333
2018-03-26,-45.6957
2018-03-27,-35.9488
2018-03-28,25.0
2018-03-29,10.0
2018-04-02,-7.2727
2018-04-03,-10.7843
2018-04-04,26.3736
2018-04-05,4.3478
2018-04-06,0.0
2018-04-09,0.0
2018-04-10,0.0
2018-04-11,-16.6667
2018-04-12,0.0
2018-04-13,20.0
2018-04-16,-16.6667
2018-04-17,-20.0
2018-04-18,12.5
2018-04-19,-5.5556
2018-04-20,17.647100000000002
2018-04-24,0.0
2018-04-25,0.5
2018-04-26,19.403
