ticker,XTNT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-07-06,-7.1429
2010-07-07,-1.5385
2010-07-08,-5.625
2010-07-09,0.0
2010-07-12,7.6159
2010-07-13,-7.6923
2010-07-19,16.6667
2010-07-21,-17.1429
2010-07-22,0.0
2010-07-26,18.9655
2010-07-27,-13.0435
2010-07-28,0.0
2010-07-30,1.6667
2010-08-02,1.6393
2010-08-03,-6.4516
2010-08-04,-1.7241
2010-08-06,5.2632
2010-08-10,43.3333
2010-08-12,0.0
2010-08-13,1.1628
2010-08-16,8.046
2010-08-17,4.2553
2010-08-18,1.0204
2010-08-19,-1.0101
2010-08-20,4.0816
2010-08-23,-1.9607999999999999
2010-08-24,0.0
2010-08-25,3.0
2010-08-26,0.9709
2010-08-27,0.0
2010-08-30,1.9231
2010-08-31,1.8868
2010-09-01,0.0
2010-09-02,2.7778
2010-09-03,0.0
2010-09-07,1.8018
2010-09-08,10.6195
2010-09-09,2.08
2010-09-10,2.8213
2010-09-13,-1.2195
2010-09-14,0.3086
2010-09-15,10.7692
2010-09-16,-2.0833
2010-09-17,-2.1277
2010-09-20,5.5072
2010-09-21,1.6484
2010-09-22,0.9459
2010-09-23,0.5355
2010-09-24,1.5979
2010-09-27,0.3932
2010-09-28,-4.047
2010-09-29,1.3605
2010-09-30,0.0
2010-10-01,0.0
2010-10-04,0.6711
2010-10-05,-0.2667
2010-10-06,0.9358
2010-10-07,3.0464
2010-10-08,0.0
2010-10-11,-6.1697
2010-10-12,2.6027
2010-10-13,-0.534
2010-10-14,0.0
2010-10-15,0.6711
2010-10-18,0.6667
2010-10-19,-0.6623
2010-10-20,-6.6667
2010-10-21,2.8571
2010-10-22,3.4722
2010-10-25,-2.6846
2010-10-26,-1.3793
2010-10-27,0.0
2010-10-28,-2.0979
2010-11-02,3.5714
2010-11-03,-3.4483
2010-11-04,-1.4285999999999999
2010-11-05,1.4493
2010-11-08,-2.8571
2010-11-09,0.7353
2010-11-10,-0.7299
2010-11-11,-0.7353
2010-11-12,-13.1852
2010-11-15,15.1877
2010-11-16,0.0
2010-11-17,2.2222
2010-11-18,7.2464
2010-11-19,0.0
2010-11-22,-8.1081
2010-11-23,4.4118
2010-11-30,-7.0423
2010-12-01,1.5152
2010-12-02,-4.4776
2010-12-03,0.0
2010-12-07,-7.0313
2010-12-08,11.0924
2010-12-14,-5.4463
2010-12-16,0.0
2010-12-17,11.2
2010-12-20,0.7194
2010-12-21,5.0
2010-12-22,1.3605
