ticker,EHVVF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-12-16,3900.0
2017-01-04,25.0
2017-01-10,0.0
2017-02-14,-9.8
2017-02-15,1.9956
2017-02-24,8.6957
2017-03-14,-4.0
2017-04-06,-47.0052
2017-09-15,-80.344
2017-09-18,0.0
2017-09-19,-20.0
2017-09-20,100.0
2017-09-21,-12.5
2017-09-22,5.0
2017-09-25,12.2449
2017-09-27,0.0
2017-09-29,-1.5152
2017-10-04,1.5385
2017-10-18,-15.1515
2017-10-19,14.2857
2017-10-24,0.0
2017-10-26,12.5
2017-10-27,-22.2222
2017-11-01,20.1429
2017-11-02,24.8514
2017-11-03,-14.2857
2017-11-06,-2.2222
2017-11-07,30.6818
2017-11-08,-8.6957
2017-11-09,19.0476
2017-11-10,20.0
2017-11-13,-10.0
2017-11-14,-14.5185
2017-11-15,-2.9463
2017-11-16,-10.7143
2017-11-17,10.0
2017-11-20,-0.1818
2017-11-21,-16.2113
2017-11-22,8.587
2017-11-24,5.005
2017-11-27,14.3947
2017-11-28,-16.6667
2017-11-29,-20.0
2017-11-30,-11.25
2017-12-01,27.7465
2017-12-04,-1.8742999999999999
2017-12-05,7.1348
2017-12-06,-16.2035
2017-12-07,-6.1327
2017-12-08,20.0
2017-12-11,-11.1111
2017-12-12,7.725
2017-12-13,-7.171
2017-12-14,-6.25
2017-12-15,5.3333
2017-12-18,-5.0633
2017-12-19,-18.6667
2017-12-20,6.5574
2017-12-21,0.0
2017-12-22,23.0769
2017-12-26,-6.5
2017-12-27,-19.7861
2017-12-28,0.0
2017-12-29,30.0
2018-01-02,-19.1026
2018-01-03,-4.9128
2018-01-04,0.0
2018-01-05,8.1667
2018-01-08,-7.5501000000000005
2018-01-09,-5.0
2018-01-10,5.2632
2018-01-11,8.3333
2018-01-12,7.6923
2018-01-16,21.4286
2018-01-17,-10.0
2018-01-18,5.8824
2018-01-19,-1.358
2018-01-22,0.1252
2018-01-23,-7.375
2018-01-24,-5.5331
2018-01-25,11.4286
2018-01-26,2.5641
2018-01-29,0.0
2018-01-30,-6.25
2018-01-31,6.6667
2018-02-01,-12.5
2018-02-02,7.0
2018-02-05,-6.5421
2018-02-06,-11.4286
2018-02-07,4.8387
2018-02-08,4.6154
2018-02-09,-11.7647
2018-02-12,-8.3333
2018-02-13,6.3636
2018-02-14,2.5641
2018-02-15,0.0
2018-02-16,-8.3333
2018-02-20,-2.5636
2018-02-21,11.588
2018-02-22,0.3344
2018-02-23,0.0
