ticker,GLBZ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-14,6.5839
2000-01-20,-32.8671
2000-01-24,12.5
2000-02-07,32.4074
2000-02-24,0.6993
2000-03-20,-30.0699
2000-03-22,54.0
2000-05-11,-31.1688
2000-05-24,3.7736
2000-06-08,16.3636
2000-06-23,0.9464
2000-06-27,0.0
2000-07-05,0.0
2000-07-10,0.0
2000-07-12,-9.375
2000-07-18,6.8966
2000-08-17,0.4032
2000-08-29,-2.008
2000-08-30,4.918
2000-08-31,0.0
2000-09-01,5.4688
2000-09-13,-8.1481
2000-09-15,-1.6129
2000-10-13,0.9934
2000-10-17,-2.4918
2000-10-18,-5.8507
2000-10-19,2.6786
2000-10-25,-6.087
2000-10-27,-3.7037
2000-10-31,0.9615
2000-11-03,0.0
2000-11-06,2.8571
2000-11-09,-1.8519
2000-11-22,0.0
2000-11-24,0.0
2000-11-28,0.0
2000-11-30,-4.717
2000-12-01,-4.9505
2000-12-07,1.0417
2000-12-08,9.2784
2000-12-13,0.0
2000-12-18,-1.8868
2001-01-02,-2.9412000000000003
2001-01-03,7.0707
2001-01-08,2.8302
2001-01-09,-0.9174
2001-01-16,3.7037
2001-01-18,2.6786
2001-01-23,-0.8696
2001-01-31,8.7719
2001-02-01,-5.6452
2001-02-05,2.5641
2001-02-07,3.3333
2001-02-09,-3.2258
2001-02-22,0.0
2001-02-26,0.0
2001-03-01,0.0
2001-03-02,5.0
2001-03-06,-2.3810000000000002
2001-03-15,3.4146
2001-04-02,-4.7619
2001-04-03,5.0
2001-04-05,1.5873
2001-04-06,-1.5625
2001-04-09,6.3492
2001-04-10,1.194
2001-04-11,0.295
2001-04-12,12.3529
2001-04-17,-0.5236
2001-04-18,-3.9474
2001-04-19,0.274
2001-04-20,6.5574
2001-04-30,-2.5641
2001-05-04,-3.6842
2001-05-11,5.1913
2001-05-22,-4.6753
2001-05-29,0.2725
2001-05-30,3.2609
2001-06-01,3.4737
2001-06-05,4.2726
2001-06-06,0.0
2001-06-14,2.439
2001-06-19,-7.1429
2001-06-26,-7.2165
2001-06-28,5.0
2001-07-06,-0.7937
2001-07-09,0.0
2001-07-10,-2.0
2001-07-11,2.0408
2001-07-12,0.0
2001-07-16,0.4
2001-07-17,2.7888
2001-07-18,6.9767
2001-07-19,2.8986
2001-07-20,-2.1127
2001-07-23,6.1151
2001-07-24,-3.3898
2001-07-26,1.4035
2001-07-31,3.8062
2001-08-02,-3.6667
2001-08-08,5.1903
2001-08-10,1.6447
