ticker,INSP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-05-03,56.125
2018-05-04,-2.0416
2018-05-07,-1.7164000000000001
2018-05-08,0.3742
2018-05-09,-0.3728
2018-05-10,6.0707
2018-05-11,4.8216
2018-05-14,9.9476
2018-05-15,9.1837
2018-05-16,0.4361
2018-05-17,3.536
2018-05-18,0.4793
2018-05-21,-0.2683
2018-05-22,-1.8235999999999999
2018-05-23,-1.9487999999999999
2018-05-24,1.5528
2018-05-25,-6.3914
2018-05-29,-7.9713
2018-05-30,5.6088000000000005
2018-05-31,0.8403
2018-06-01,2.8
2018-06-04,-3.9234999999999998
2018-06-05,4.2862
2018-06-06,-0.0971
2018-06-07,6.8027
2018-06-08,3.0027
2018-06-11,3.5041
2018-06-12,-6.5149
2018-06-13,5.2039
2018-06-14,2.0249
2018-06-15,3.374
2018-06-18,-3.5107
2018-06-19,7.0495
2018-06-20,3.4254
2018-06-21,0.4365
2018-06-22,0.9714
2018-06-25,-1.9241000000000001
2018-06-26,-1.2389999999999999
2018-06-27,-5.0706
2018-06-28,-0.413
2018-06-29,-1.41
2018-07-02,6.0292
2018-07-03,-2.6713
2018-07-05,4.6739
2018-07-06,-3.4008
2018-07-09,-0.3762
2018-07-10,21.7426
2018-07-11,-3.5232
2018-07-12,-1.2402
2018-07-13,-2.4884
2018-07-16,2.5996
2018-07-17,2.2083
2018-07-18,-1.9559
2018-07-19,2.598
2018-07-20,-4.5443999999999996
2018-07-23,-0.6395
2018-07-24,-1.5018
2018-07-25,4.5741
2018-07-26,3.1937
2018-07-27,-7.6026
2018-07-30,3.7136
2018-07-31,4.8444
2018-08-01,1.4509
2018-08-02,1.1881
2018-08-03,1.022
2018-08-06,-0.1507
2018-08-07,0.0216
2018-08-08,-1.8534000000000002
2018-08-09,2.7229
2018-08-10,-0.9619
2018-08-13,3.7340999999999998
2018-08-14,0.1873
2018-08-15,3.053
2018-08-16,8.8472
2018-08-17,-3.4623
2018-08-20,-4.5071
2018-08-21,3.1733000000000002
2018-08-22,3.2509
2018-08-23,-0.0943
2018-08-24,-0.0566
2018-08-27,1.756
2018-08-28,-0.0371
2018-08-29,0.6868
2018-08-30,-0.4609
2018-08-31,1.8521999999999998
2018-09-04,3.637
2018-09-05,-3.1935000000000002
2018-09-06,-2.8276
2018-09-07,1.3617
2018-09-10,-1.7114
2018-09-11,-0.1311
2018-09-12,-3.9370000000000003
2018-09-13,5.7963000000000005
2018-09-14,-5.6815999999999995
2018-09-17,-5.6914
