ticker,GEF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.3613
2000-01-04,0.0
2000-01-05,0.4348
2000-01-06,-0.6494
2000-01-07,-0.2179
2000-01-10,0.8734
2000-01-11,-4.7619
2000-01-12,5.0
2000-01-13,0.0
2000-01-14,-1.2987
2000-01-18,1.7544
2000-01-19,0.2155
2000-01-20,-4.9462
2000-01-21,3.1673999999999998
2000-01-24,-0.4386
2000-01-25,-1.9824000000000002
2000-01-26,2.0225
2000-01-27,-3.0837
2000-01-28,-0.4545
2000-01-31,2.0548
2000-02-01,-0.2237
2000-02-02,-1.3453
2000-02-03,4.5455
2000-02-04,0.8696
2000-02-07,-1.2931
2000-02-08,1.31
2000-02-09,1.5086
2000-02-10,-0.6369
2000-02-11,0.8547
2000-02-14,-1.0593
2000-02-15,2.7837
2000-02-16,1.6667
2000-02-17,0.0
2000-02-18,-2.459
2000-02-22,0.8403
2000-02-23,-2.5
2000-02-24,0.0
2000-02-25,2.1368
2000-02-28,3.3473
2000-02-29,2.0243
2000-03-01,0.7937
2000-03-02,0.7874
2000-03-03,-0.7813
2000-03-06,-3.1496
2000-03-07,2.439
2000-03-08,0.0
2000-03-09,-1.5873
2000-03-10,-1.6129
2000-03-13,3.6885
2000-03-14,-0.7905
2000-03-15,-2.988
2000-03-16,3.4743
2000-03-17,-1.1952
2000-03-20,-0.8065
2000-03-21,-2.0325
2000-03-22,1.2448
2000-03-23,0.4098
2000-03-24,0.0
2000-03-27,0.4082
2000-03-28,-0.4065
2000-03-29,1.2245
2000-03-30,1.6129
2000-03-31,1.1905000000000001
2000-04-03,0.3922
2000-04-04,-0.3906
2000-04-05,-0.7843
2000-04-06,2.3715
2000-04-07,-1.1583
2000-04-10,-3.125
2000-04-11,2.0161
2000-04-12,-0.3953
2000-04-13,-1.1905000000000001
2000-04-14,0.0
2000-04-17,3.012
2000-04-18,0.1949
2000-04-19,-1.5564
2000-04-20,1.1858
2000-04-24,0.3906
2000-04-25,1.9455
2000-04-26,-1.145
2000-04-27,0.7722
2000-04-28,1.1494
2000-05-01,-1.7045
2000-05-02,-0.578
2000-05-03,-4.6512
2000-05-04,-3.4553
2000-05-05,0.6316
2000-05-08,-1.2551999999999999
2000-05-09,-1.6949
2000-05-10,-0.6466
2000-05-11,1.5184
2000-05-12,2.5641
2000-05-15,0.8333
2000-05-16,0.0
2000-05-17,-1.6529
2000-05-18,-0.6303
2000-05-19,-1.9026999999999998
2000-05-22,1.7241
2000-05-23,5.0847
