ticker,AVOA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-05,3.4739
2000-01-18,-8.8729
2000-01-21,0.3289
2000-01-25,-1.6393
2000-01-27,9.3333
2000-01-31,-1.2195
2000-02-03,-3.7037
2000-02-04,7.6923
2000-02-07,-3.5714
2000-02-08,0.0
2000-02-10,-0.6173
2000-03-20,1.8634
2000-03-31,0.3049
2000-05-11,-1.8237
2000-05-15,-0.9288
2000-06-01,5.0
2000-06-07,-14.2857
2000-06-27,0.0
2000-07-25,2.7778
2000-08-10,13.5135
2000-08-18,0.0
2000-09-01,-1.1905000000000001
2000-09-27,20.4819
2000-10-27,-1.0
2000-10-31,1.0101
2000-11-28,-28.0
2000-11-30,26.3889
2000-12-05,-1.0989
2000-12-06,-11.1111
2000-12-11,15.0
2000-12-27,0.0
2001-01-19,-6.4685
2001-02-13,2.1807
2001-02-14,2.439
2001-04-06,4.7619
2001-04-24,0.0
2001-05-10,-4.5455
2001-05-11,1.1905000000000001
2001-05-15,-1.1764999999999999
2001-06-01,0.0
2001-06-05,4.7619
2001-06-11,0.0
2001-06-12,0.0
2001-06-15,-4.5455
2001-07-10,0.5051
2001-07-11,0.5025
2001-07-26,3.0
2001-08-15,16.5049
2001-09-05,4.1667
2001-10-03,0.0
2001-11-28,-6.0
2001-12-05,0.0
2001-12-19,1.0638
2001-12-24,-1.0526
2002-01-04,7.2464
2002-01-10,3.6036
2002-03-04,6.5217
2002-03-20,-4.0816
2002-03-25,3.1915
2002-04-10,3.5052
2002-04-11,-0.3984
2002-04-23,-6.0
2002-04-24,2.1277
2002-05-02,0.0
2002-05-07,0.0
2002-05-16,-3.125
2002-05-17,-1.0753
2002-06-10,-8.6957
2002-06-17,0.0
2002-06-18,-7.1429
2002-06-26,0.0
2002-06-28,-1.2821
2002-07-26,8.8312
2002-07-29,-7.8759
2002-08-01,-0.2591
2002-08-06,-5.1948
2002-08-30,0.0
2002-09-05,0.0
2002-09-06,0.8219
2002-09-11,-3.8043
2002-09-27,-3.9548
2002-10-07,0.0
2002-10-14,-5.2941
2002-10-15,0.9317
2002-10-17,4.4923
2002-10-25,-5.7126
2002-11-11,3.0606
2002-11-18,3.0303
2002-12-27,11.7647
2003-01-29,13.0435
2003-01-30,2.6154
2003-02-18,4.9475
2003-03-10,-11.9048
2003-03-13,0.0
2003-04-02,1.6216
2003-05-05,1.0638
2003-05-06,1.3158
2003-05-12,-1.2987
2003-05-23,-7.3684
2003-06-12,5.1136
2003-06-18,8.1081
