ticker,BYSD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-06-09,0.0
2000-10-24,-83.1667
2000-11-28,-49.505
2001-07-23,-98.0392
2002-03-07,0.0
2002-10-09,0.0
2002-10-31,600.0
2002-12-31,-71.4286
2003-06-11,0.0
2003-10-01,0.0
2004-02-13,0.0
2004-03-26,0.0
2004-04-14,0.0
2004-08-18,4950.0
2005-03-28,-70.297
2005-05-16,-83.3333
2006-04-10,20.0
2006-06-14,816.6667
2006-06-15,9.0909
2006-06-21,0.0
2006-07-31,-75.0
2007-04-30,-66.6667
2007-06-27,-40.0
2007-10-12,0.0
2008-02-12,0.0
2008-10-29,-15.0
2008-11-17,-39.2157
2008-12-04,-35.4839
2008-12-16,0.0
2009-01-23,45.0
2009-02-20,20.6897
2009-03-13,-22.8571
2009-04-28,5.5556
2009-04-30,-8.7719
2009-05-01,15.3846
2009-05-06,16.6667
2009-05-07,0.0
2009-05-08,5.7143
2009-05-12,0.0
2009-05-18,5.4054
2009-05-19,2.5641
2009-05-21,16.25
2009-05-22,1.0753
2009-05-28,6.383
2009-06-24,-6.0
2009-08-20,2.1277
2009-08-21,8.3333
2009-08-24,-1.9231
2009-08-25,5.8824
2009-08-26,-1.8519
2009-08-27,3.7736
2009-08-31,-14.5455
2009-09-01,59.5745
2009-09-02,-6.6667
2009-09-03,0.0
2009-09-04,-5.7143
2009-09-08,-2.7273
2009-09-09,-6.5421
2009-09-10,18.3333
2009-09-11,38.0282
2009-09-14,-13.2653
2009-09-15,0.0
2009-09-16,-7.0588
2009-09-17,-24.0506
2009-09-18,0.0
2009-09-21,-20.0
2009-09-22,4.1667
2009-09-23,32.0
2009-09-24,4.5455
2009-09-25,-1.4493
2009-09-28,-7.3529
2009-09-29,-20.634900000000002
2009-09-30,0.0
2009-10-01,-20.0
2009-10-02,27.5
2009-10-05,15.6863
2009-10-06,-5.0847
2009-10-07,-0.8929
2009-10-08,-18.9189
2009-10-09,-11.1111
2009-10-13,7.5
2009-10-14,-30.2326
2009-10-15,0.0
2009-10-20,-16.6667
2009-10-21,40.0
2009-10-22,-8.5714
2009-10-23,25.0
2009-10-26,-20.0
2009-10-28,9.375
2009-10-29,-37.1429
2009-10-30,-9.0909
2009-11-02,65.0
2009-11-03,-42.4242
2009-11-04,73.6842
2009-11-09,-9.0909
2009-11-10,-26.6667
2009-11-11,6.8182
2009-11-12,27.6596
2009-11-13,-10.0
2009-11-17,-7.4074
2009-11-18,20.0
2009-11-20,0.0
