ticker,MVXM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-04-16,100.0
2019-07-12,900.0
2019-08-06,336.0
2019-08-23,-31.1904
2019-08-26,-0.0033
2020-02-12,21.0
2020-02-13,-17.3554
2020-03-05,-33.3333
2020-03-06,0.0
2020-04-09,-49.995
