ticker,ECOS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-09-22,-1.4493
2005-09-23,22.549
2005-09-26,2.0
2005-09-27,-7.8431
2005-09-28,-6.383
2005-09-29,-6.3636
2005-09-30,6.7961
2005-10-03,-5.9091000000000005
2005-10-04,1.4493
2005-10-05,2.3810000000000002
2005-10-06,-1.1628
2005-10-07,-2.5882
2005-10-11,11.1111
2005-10-12,17.8261
2005-10-13,3.69
2005-10-14,4.2705
2005-10-17,0.3413
2005-10-18,-1.3605
2005-10-19,1.3793
2005-10-20,1.0204
2005-10-21,-5.3872
2005-10-24,1.4235
2005-10-25,1.7544
2005-10-26,-1.7241
2005-10-27,0.0
2005-10-28,0.0
2005-10-31,1.7544
2005-11-01,2.4138
2005-11-02,-2.3569
2005-11-03,-3.4483
2005-11-04,8.9286
2005-11-07,1.6393
2005-11-08,21.9355
2005-11-09,5.5556
2005-11-10,-5.7644
2005-11-11,5.5851
2005-11-14,3.2746
2005-11-15,1.9512
2005-11-16,-6.6986
2005-11-17,2.8205
2005-11-18,1.4963
2005-11-21,-4.1769
2005-11-22,-3.8462
2005-11-23,2.4
2005-11-25,7.5521
2005-11-28,-1.6949
2005-11-29,-1.4778
2005-11-30,-1.75
2005-12-01,-2.799
2005-12-02,1.0471
2005-12-05,5.4404
2005-12-06,1.2285
2005-12-07,0.0
2005-12-08,-1.9417
2005-12-09,0.9901
2005-12-12,-0.7353
2005-12-13,0.4938
2005-12-14,0.0
2005-12-15,-0.9828
2005-12-16,-0.4963
2005-12-19,-0.9975
2005-12-20,-4.0302
2005-12-21,3.6745
2005-12-22,-5.0633
2005-12-23,1.3333
2005-12-27,0.5263
2005-12-28,3.4031000000000002
2005-12-29,-1.0127
2005-12-30,-0.7673
2006-01-03,-5.9277999999999995
2006-01-04,11.5068
2006-01-05,-0.4914
2006-01-06,-0.7407
2006-01-09,-1.4925
2006-01-10,1.0101
2006-01-11,0.75
2006-01-12,-3.2258
2006-01-13,3.0769
2006-01-17,0.7463
2006-01-18,-0.2469
2006-01-19,-0.9901
2006-01-20,-0.5
2006-01-23,-2.0101
2006-01-24,2.0513
2006-01-25,-2.0101
2006-01-26,-2.5641
2006-01-27,0.0
2006-01-30,-0.2632
2006-01-31,-7.3879
2006-02-01,3.9886
2006-02-02,-2.7397
2006-02-03,-3.662
2006-02-06,-7.0175
2006-02-07,-12.8931
2006-02-08,1.083
2006-02-09,15.7143
2006-02-10,-3.7037
2006-02-13,4.1667
2006-02-14,-2.4615
