ticker,AIHS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-03-16,41.25
2018-03-19,4.9558
2018-03-20,-12.9848
2018-03-21,9.4961
2018-03-22,6.0
2018-03-23,-0.1519
2018-03-26,-5.0151
2018-03-27,2.1127
2018-03-28,1.5516999999999999
2018-03-29,1.017
2018-04-02,-2.0152
2018-04-03,2.916
2018-04-04,-0.8333
2018-04-05,0.5042
2018-04-06,-1.6722000000000001
2018-04-09,1.1905000000000001
2018-04-10,0.8403
2018-04-11,8.3333
2018-04-12,0.7677
2018-04-13,0.0015
2018-04-16,-0.7634
2018-04-17,6.3077
2018-04-18,10.275
2018-04-19,2.3622
2018-04-20,-1.9231
2018-04-23,-5.2288
2018-04-24,2.6207000000000003
2018-04-25,-0.8078
2018-04-26,-0.271
2018-04-27,3.9416
2018-04-30,1.4379
2018-05-01,1.6753
2018-05-02,-1.0152
2018-05-03,0.5135
2018-05-04,1.4013
2018-05-07,-3.0151
2018-05-08,1.4249
2018-05-09,2.9374000000000002
2018-05-10,-3.8462
2018-05-11,-0.5161
2018-05-14,-1.2296
2018-05-15,-2.6946
2018-05-16,-0.2713
2018-05-17,-2.2991
2018-05-18,-0.277
2018-05-21,1.1097
2018-05-22,-5.2185
2018-05-23,-3.6231999999999998
2018-05-24,0.4496
2018-05-25,-1.0464
2018-05-29,-6.354
2018-05-30,-3.8772
2018-05-31,-5.8824
2018-06-01,2.5
2018-06-04,3.3101
2018-06-05,-0.3373
2018-06-06,12.1827
2018-06-07,-1.2066
2018-06-08,-0.1298
2018-06-11,6.0919
2018-06-12,-7.781
2018-06-13,-4.8438
2018-06-14,3.4483
2018-06-15,-4.4444
2018-06-18,-0.9967
2018-06-19,-1.6779
2018-06-20,3.7542999999999997
2018-06-21,-0.4934
2018-06-22,-2.4793
2018-06-25,-2.5423999999999998
2018-06-26,-0.8696
2018-06-27,2.4561
2018-06-28,-5.3082
2018-06-29,1.2658
2018-07-02,-3.75
2018-07-03,1.1132
2018-07-05,-1.1009
2018-07-06,-1.6698
2018-07-09,-1.5093999999999999
2018-07-10,-0.1916
2018-07-11,-6.334
2018-07-12,-3.0738
2018-07-13,-2.537
2018-07-16,-1.7354
2018-07-17,-4.1943
2018-07-18,-3.4562
2018-07-19,0.2387
2018-07-20,3.0952
2018-07-23,0.9238
2018-07-24,0.9153
2018-07-25,-1.3605
2018-07-26,1.6092
2018-07-27,-1.3575
2018-07-30,4.3578
2018-07-31,3.5164999999999997
2018-08-01,-17.8344
