ticker,EVOA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-08,0.0
2000-02-22,0.0
2000-03-10,50.0
2000-03-13,16.6667
2000-03-15,14.2857
2000-03-17,12.5
2000-03-21,-11.1111
2000-03-22,31.25
2000-04-13,61.9048
2000-07-06,-52.9412
2000-07-18,1.25
2000-08-01,0.0
2000-08-10,0.0
2000-08-21,0.0
2000-09-08,48.1481
2000-10-12,-91.6667
2000-12-11,212.5
2001-05-14,-68.0
2001-09-28,200.0
2001-11-08,-60.0
2001-12-28,0.0
2002-12-04,-16.6667
2002-12-05,0.0
2002-12-20,-98.75
2003-10-10,700.0
2003-11-21,-87.5
2004-05-18,0.0
2004-07-23,0.0
2004-08-10,0.0
2004-08-16,0.0
2004-08-20,0.0
2004-10-15,0.0
2004-12-31,0.0
2005-04-25,0.0
2005-05-17,0.0
2005-12-22,0.0
2006-10-16,0.0
2011-04-14,79900.0
2011-04-28,-50.0
2011-05-05,0.0
2011-05-09,0.0
2011-05-23,100.0
2011-06-03,0.0
2011-06-24,-48.875
2011-06-30,211.0024
2011-07-13,-62.2642
2011-08-03,66.6667
2011-08-04,0.0
2011-08-05,0.0
2011-08-15,0.0
2011-09-02,-34.0
2011-09-28,21.2121
2011-10-18,-18.75
2011-10-19,0.0
2011-10-20,-84.6346
2011-11-28,200.3755
2011-11-30,70.8333
2011-12-14,-0.4878
2011-12-22,-50.9804
2012-01-04,104.0
2012-01-05,0.0
2012-01-06,0.0
2012-01-26,-19.6078
2012-01-27,-31.7073
2012-02-14,-17.8571
2012-03-02,13.0435
2012-04-27,-11.538499999999999
2012-05-03,17.3913
2012-06-12,11.1111
2012-08-02,-33.3333
2012-08-10,0.0
2012-09-28,-5.0
2012-10-15,0.0
2013-02-27,426.3158
2013-03-01,-75.0
2013-03-27,-20.0
2013-04-02,7.1875
2013-04-05,-30.0292
2013-04-10,-13.0833
2013-04-18,-23.2982
2013-05-10,100.0
2013-05-15,0.0
2013-05-22,0.0
2013-06-04,-39.0
2013-06-11,-18.0328
2013-06-20,-50.0
2013-07-10,0.0
2013-08-27,120.0
2013-10-31,-9.0909
2013-11-05,0.0
2013-12-05,0.0
2014-01-23,0.0
2014-04-08,0.0
2014-05-14,0.0
2014-05-15,900.0
2014-05-16,-49.0
2014-05-20,-60.5882
2014-06-03,9.4527
2014-06-06,0.0
2014-06-12,0.0
2014-06-19,0.0
2014-08-25,-31.3636
2014-09-04,5.9603
2014-10-22,0.0
2015-01-29,-96.25
2015-04-01,733.3333
2015-04-21,-20.0
2015-04-24,0.0
2015-05-06,0.0
2015-05-07,150.0
2015-08-31,-50.0
2016-05-02,140.0
2016-05-10,-16.6667
2016-05-11,0.0
2016-05-12,-80.0
2016-07-15,195.625
2016-09-16,-32.3467
2016-10-06,0.0
2016-10-18,0.0
2016-10-31,0.0
2016-11-03,200.0
2016-11-04,108.3333
2016-11-07,26.4
2016-11-08,-17.7215
2016-11-10,269.2308
2016-11-11,-67.0833
2016-11-14,26.5823
2016-11-29,12.5
2016-12-01,-51.1111
2016-12-05,81.8182
2017-01-17,-37.5
2017-01-18,-40.0
2017-02-03,66.6667
2017-02-09,30.45
2017-02-10,0.0
2017-02-15,-69.3369
2017-02-17,-80.0
2017-03-27,2.5
2018-02-12,-85.3659
2018-12-04,566.6667
2019-02-21,50.0
2019-03-19,33.3333
2019-09-20,25.0
2019-09-23,8.0
2019-12-24,11.1111
2020-02-05,98.6667
2020-02-11,0.6711
2020-02-12,-0.8333
2020-03-12,0.6723
2020-03-17,-0.6678
2020-04-16,0.0
2020-04-20,84.0336
2020-04-21,0.4566
2020-04-24,0.0
2020-04-30,1.9091
2020-05-11,-10.7939
2020-05-13,5.0
2020-07-31,-14.2848
