ticker,VEND US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-08-30,578.7879
2013-09-03,25.0
2013-09-04,0.0
2013-09-05,0.0
2013-09-10,3.5714
2013-09-12,0.0
2013-09-13,-17.2414
2013-09-16,20.8333
2013-09-17,20.6897
2013-09-18,-8.5714
2013-09-25,-9.375
2013-09-26,6.2069
2013-09-27,-18.8312
2013-10-02,20.0
2013-10-03,6.6667
2013-10-04,0.0
2013-10-07,3.125
2013-10-08,3.0303
2013-10-09,0.0
2013-10-10,0.0
2013-10-14,-4.1176
2013-10-17,-7.9755
2013-10-22,-13.3333
2013-10-23,0.7692
2013-10-24,33.5878
2013-10-28,-14.2857
2013-10-29,0.0
2013-10-30,2.6667
2013-10-31,-5.8442
2013-11-01,17.2414
2013-11-05,0.0
2013-11-06,-2.9412000000000003
2013-11-11,3.0303
2013-11-12,8.8235
2013-11-13,-0.5405
2013-11-14,-1.6303999999999998
2013-11-15,8.8398
2013-11-18,26.3959
2013-11-19,54.6185
2013-11-20,-29.8701
2013-11-21,10.3704
2013-11-22,9.0604
2013-11-25,-7.0769
2013-11-26,-13.9073
2013-11-27,-28.0769
2013-11-29,13.369
2013-12-02,-5.1887
2013-12-03,0.0
2013-12-04,0.0
2013-12-05,-4.9751
2013-12-06,-0.5236
2013-12-09,-1.0526
2013-12-10,-6.9149
2013-12-11,0.0
2013-12-12,0.0
2013-12-13,-1.7143000000000002
2013-12-16,-1.7442
2013-12-17,5.9172
2013-12-18,7.2626
2013-12-19,1.0417
2013-12-20,1.5464
2013-12-23,6.0914
2013-12-24,-0.9569
2013-12-26,0.9662
2013-12-27,-0.9569
2013-12-30,-1.9324
2013-12-31,1.9704000000000002
2014-01-02,0.4831
2014-01-03,-0.9615
2014-01-06,2.9126
2014-01-07,6.1321
2014-01-08,6.2222
2014-01-09,5.8577
2014-01-10,3.5573
2014-01-13,7.2519
2014-01-14,7.4733
2014-01-15,-13.9073
2014-01-16,2.6923
2014-01-17,6.367
2014-01-21,8.0986
2014-01-22,2.6059
2014-01-23,2.8571
2014-01-24,-5.2469
2014-01-27,3.5831
2014-01-28,7.2327
2014-01-29,-1.7595
2014-01-30,12.5373
2014-01-31,3.7135
2014-02-03,5.3708
2014-02-04,5.3398
2014-02-05,9.2166
2014-02-06,2.7426
2014-02-07,5.9548
2014-02-10,1.938
2014-02-11,-2.6616
2014-02-12,2.1484
2014-02-13,1.3384
2014-02-14,2.8302
2014-02-18,4.9541
2014-02-19,4.8951
2014-02-20,3.3333
