ticker,TMBR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-04-09,0.0
2014-09-08,1233.3333
2014-09-09,12.5
2014-09-10,0.0
2014-09-11,0.0
2014-09-12,22.2222
2014-09-16,9.0909
2014-09-17,0.0
2014-09-18,-8.3333
2014-09-19,-8.7273
2014-09-22,-0.3984
2014-09-23,0.0
2014-09-24,-20.0
2014-09-25,12.5
2014-09-30,0.0
2014-10-01,33.3333
2014-10-13,-0.3333
2014-10-15,-6.3545
2014-10-16,7.1429
2014-10-20,-6.6667
2014-10-21,0.3571
2014-10-23,-0.3559
2014-10-28,0.0
2014-10-29,-10.7143
2014-10-31,40.0
2014-11-06,-2.8571
2014-11-11,0.0
2014-11-12,0.0
2014-11-14,-26.4706
2014-11-17,20.0
2014-11-18,0.0
2014-11-21,-16.6667
2014-11-24,0.0
2014-11-25,-7.6
2014-11-26,-2.5974
2014-11-28,0.0
2014-12-01,11.1111
2014-12-02,0.0
2014-12-03,12.0
2014-12-09,0.0
2014-12-11,0.0
2014-12-15,7.1429
2014-12-16,0.0
2014-12-22,0.0
2014-12-23,0.0
2014-12-30,-8.3333
2014-12-31,9.0909
2015-01-05,0.0
2015-01-06,0.0
2015-01-07,0.0
2015-01-08,-8.3333
2015-01-09,0.0
2015-01-13,9.0909
2015-01-14,-3.3333
2015-01-15,3.4483
2015-01-16,0.0
2015-01-21,0.0
2015-01-22,-3.3333
2015-01-26,0.0
2015-01-28,1.7241
2015-01-30,1.6949
2015-02-02,-8.3333
2015-02-03,5.4545
2015-02-04,1.7241
2015-02-11,0.0
2015-02-19,0.0
2015-02-23,1.6949
2015-02-24,0.0
2015-02-25,0.0
2015-02-26,-3.3333
2015-02-27,-0.3448
2015-03-02,0.0
2015-03-03,0.346
2015-03-05,-3.4483
2015-03-06,7.1429
2015-03-09,0.0
2015-03-12,0.0
2015-03-18,0.0
2015-03-20,0.0
2015-03-23,0.0
2015-03-26,0.0
2015-03-27,0.0
2015-03-30,8.3333
2015-03-31,0.0
2015-04-06,-7.6923
2015-04-07,0.0
2015-04-13,5.0
2015-04-14,-4.7619
2015-04-24,16.6667
2015-04-27,0.0
2015-04-30,-14.2857
2015-05-11,16.6667
2015-05-12,-7.1429
2015-05-14,6.1538
2015-05-21,-5.7971
2015-05-28,6.1538
2015-05-29,0.0
2015-06-04,-5.7971
2015-06-05,0.0
2015-06-08,4.6154
2015-06-09,17.647100000000002
2015-06-10,12.0
2015-06-11,0.4464
2015-06-12,0.0
