ticker,CDAB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-12-19,0.5917
2019-01-07,0.0
2019-01-08,0.5882
2019-01-16,2.3392
2019-02-04,14.2857
2019-03-19,-10.0
2019-03-20,0.0
2019-04-08,0.0
2019-04-30,0.0
2019-05-02,0.0
2019-05-07,0.0
2019-05-08,0.0
2019-05-28,11.1111
2019-06-05,-9.0
2019-06-20,-1.0989
2019-06-21,0.0
2019-06-25,2.2222
2019-07-02,-2.1739
2019-07-05,-1.6667
2019-07-10,0.0
2019-07-12,3.9548
2019-07-19,0.0
2019-08-09,-2.1739
2019-08-14,-1.7778
2019-08-15,0.2262
2019-08-16,-0.5643
2019-08-21,0.1135
2019-08-29,1.0204
2019-08-30,3.2548
2019-10-21,-1.6303999999999998
2019-10-22,0.0011
2019-10-28,4.9712
2019-11-05,5.2632
2019-12-16,0.0
2019-12-19,0.0
2019-12-30,0.0
2020-01-15,0.0
2020-01-29,5.0
2020-02-19,-1.9048
2020-03-11,-5.0485
2020-03-12,-3.3742
2020-03-13,-1.3757
2020-03-19,-1.9313
2020-03-23,-0.1094
2020-04-01,-1.3143
2020-04-13,0.111
2020-05-06,-0.1109
2020-05-11,0.9989
2020-05-13,-0.989
2020-05-19,0.0
2020-06-01,0.0
2020-06-18,7.2142
2020-06-25,-6.7288
2020-07-06,0.0
2020-07-13,0.0
2020-07-14,0.0
2020-07-31,0.111
