ticker,USRI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-11-04,-18.6508
2005-11-21,-73.1707
2005-11-25,-9.0909
2005-12-14,0.0
2005-12-29,50.0
2006-01-03,0.0
2006-01-04,-6.6667
2006-01-05,-21.4286
2006-01-06,-10.9091
2006-01-09,-18.3673
2006-01-12,-37.5
2006-01-17,0.0
2006-01-19,-56.0
2006-01-20,0.0
2006-01-24,36.3636
2006-01-25,0.0
2006-01-26,-6.6667
2006-01-27,21.4286
2006-01-30,-11.9853
2006-01-31,-53.2164
2006-02-01,-14.2857
2006-02-02,-16.6667
2006-02-03,0.0
2006-02-06,-36.0
2006-02-07,-10.9375
2006-02-10,40.3509
2006-02-14,50.0
2006-02-21,16.6667
2006-02-23,7.1429
2006-02-24,-6.6667
2006-02-27,-14.2857
2006-02-28,-33.3333
2006-03-02,25.0
2006-03-03,-30.0
2006-03-06,0.0
2006-03-07,-14.2857
2006-03-08,0.0
2006-03-09,66.6667
2006-03-10,-20.0
2006-03-13,25.0
2006-03-14,0.0
2006-03-15,0.375
2006-03-16,39.477
2006-03-17,0.0
2006-03-20,-14.2857
2006-03-21,-8.3333
2006-03-22,0.0
2006-03-23,-0.3409
2006-03-24,0.3421
2006-03-27,0.0
2006-03-28,0.0
2006-03-29,9.0909
2006-03-30,-0.3125
2006-03-31,0.3135
2006-04-03,0.0
2006-04-04,0.0
2006-04-05,0.0
2006-04-06,-23.3333
2006-04-07,-13.0435
2006-04-10,-12.5
2006-04-17,20.0
2006-04-19,42.8571
2006-04-20,0.0
2006-04-21,50.0
2006-04-25,0.0
2006-05-02,-22.2222
2006-05-03,64.2857
2006-05-04,30.4348
2006-05-05,6.6667
2006-05-08,-25.0
2006-05-09,-16.6667
2006-05-11,20.0
2006-05-17,-8.3333
2006-05-22,0.0
2006-05-24,-36.3636
2006-05-25,-5.9821
2006-05-26,21.5575
2006-05-30,-30.2344
2006-05-31,-28.3315
2006-06-01,150.0
2006-06-02,0.0
2006-06-05,-10.0
2006-06-06,-21.3194
2006-06-07,-16.6814
2006-06-08,-32.2034
2006-06-09,22.5
2006-06-12,-16.3265
2006-06-13,-2.439
2006-06-14,-2.5
2006-06-15,-10.2564
2006-06-16,-14.2857
2006-06-19,33.3333
2006-06-20,-25.0
2006-06-21,33.3333
2006-06-22,-12.5
2006-06-23,-11.4286
2006-06-26,-3.2258
2006-06-27,-16.6667
2006-06-28,0.0
2006-06-29,-20.0
2006-06-30,10.0
2006-07-03,-9.0909
