ticker,AROC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-08-22,-0.3185
2007-08-23,-2.5559
2007-08-24,1.141
2007-08-27,-2.2692
2007-08-28,0.0398
2007-08-29,2.5597
2007-08-30,0.1293
2007-08-31,0.0904
2007-09-04,2.0645
2007-09-05,0.3161
2007-09-06,0.1764
2007-09-07,-2.4406
2007-09-10,1.0058
2007-09-11,0.8298
2007-09-12,-0.2152
2007-09-13,0.7613
2007-09-14,-0.6045
2007-09-17,-2.3819
2007-09-18,1.7132
2007-09-19,0.0255
2007-09-20,-0.4975
2007-09-21,1.9231
2007-09-24,-1.3208
2007-09-25,0.4079
2007-09-26,-0.6601
2007-09-27,2.2236
2007-09-28,0.4376
2007-10-01,2.7882
2007-10-02,2.9063
2007-10-03,-0.4707
2007-10-04,-1.8681
2007-10-05,0.241
2007-10-08,0.2404
2007-10-09,1.5588
2007-10-10,3.7544
2007-10-11,1.2176
2007-10-12,-2.3609
2007-10-15,-0.2188
2007-10-16,-1.0732
2007-10-17,-0.0933
2007-10-18,-0.035
2007-10-19,-3.8776
2007-10-22,-0.3038
2007-10-23,3.5954
2007-10-24,-0.1412
2007-10-25,0.4359
2007-10-26,0.2933
2007-10-29,-0.8187
2007-10-30,-1.7807
2007-10-31,1.0926
2007-11-01,-2.2922000000000002
2007-11-02,1.252
2007-11-05,1.4285999999999999
2007-11-06,4.758
2007-11-07,-1.706
2007-11-08,-0.1149
2007-11-09,0.84
2007-11-12,-2.773
2007-11-13,2.5
2007-11-14,-0.8016
2007-11-15,-2.6088
2007-11-16,0.6874
2007-11-19,-4.2731
2007-11-20,0.664
2007-11-21,0.2688
2007-11-23,1.8275000000000001
2007-11-26,-2.9194
2007-11-27,-1.2817
2007-11-28,1.3233
2007-11-29,-0.1848
2007-11-30,-1.1974
2007-12-03,-0.7496
2007-12-04,-2.8701
2007-12-05,0.9461
2007-12-06,3.0299
2007-12-07,0.7227
2007-12-10,1.2248
2007-12-11,-2.2855
2007-12-12,3.3146
2007-12-13,-1.5617
2007-12-14,-3.7019
2007-12-17,-2.5286999999999997
2007-12-18,1.4151
2007-12-19,-1.8734
2007-12-20,2.5543
2007-12-21,4.2881
2007-12-24,0.7263
2007-12-26,1.3566
2007-12-27,-2.4478
2007-12-28,1.3473
2007-12-31,-0.2317
2008-01-02,-0.4645
2008-01-03,-1.0685
2008-01-04,-2.3836
2008-01-07,-0.7249
2008-01-08,-1.422
2008-01-09,-1.3645
2008-01-10,0.448
2008-01-11,0.2099
