ticker,KLEG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-10-09,0.4444
2009-02-02,-64.6018
2009-10-23,237.5
2009-10-26,0.0
2009-12-08,270.3704
2010-07-22,-87.5
2011-02-28,-79.6
2011-03-29,292.1569
2011-04-14,-74.5
2011-07-11,292.1569
2011-07-13,-86.5
2011-09-29,33.3333
2012-05-16,0.0
2012-06-22,0.0
2013-05-17,-44.4444
2013-07-02,25.0
2013-07-22,-40.0
2013-08-26,-66.6667
2014-01-14,0.0
2015-07-21,400.0
2015-11-30,0.0
2016-02-05,-92.0
2016-12-29,900.0
2017-01-17,-99.0
2018-05-07,7400.0
2020-04-06,-41.6333
