ticker,FVAC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-23,-0.9
2020-06-24,-1.3118
2020-06-25,1.227
2020-06-26,0.404
2020-06-29,0.2958
2020-06-30,0.006
2020-07-01,0.0
2020-07-02,0.3009
2020-07-06,-1.0
2020-07-07,1.5152
2020-07-08,-0.6965
2020-07-09,0.2004
2020-07-10,0.2
2020-07-13,-0.1996
2020-07-14,0.0
2020-07-15,9.9
2020-07-16,-2.6388
2020-07-17,2.1495
2020-07-20,3.2022
2020-07-21,9.9291
2020-07-22,20.0
2020-07-23,-2.957
2020-07-24,-5.4709
2020-07-27,-4.1026
2020-07-28,-3.5141
2020-07-29,-4.1964
2020-07-30,0.1653
2020-07-31,-2.6403
