ticker,COGT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-03-29,-7.4167
2018-04-02,-3.2403
2018-04-03,0.0
2018-04-04,0.0
2018-04-05,2.1395
2018-04-06,-1.7304
2018-04-09,-0.5561
2018-04-10,2.9823
2018-04-11,0.362
2018-04-12,1.9838
2018-04-13,2.9177999999999997
2018-04-16,0.945
2018-04-17,1.7021
2018-04-18,0.4184
2018-04-19,0.0
2018-04-20,-0.1667
2018-04-23,2.2538
2018-04-24,-2.449
2018-04-25,-3.5983
2018-04-26,2.3438
2018-04-27,-0.0848
2018-04-30,-2.8014
2018-05-01,-3.0568
2018-05-02,1.6216
2018-05-03,-2.6596
2018-05-04,-0.6375
2018-05-07,0.1833
2018-05-08,-1.0979
2018-05-09,-1.4801
2018-05-10,0.3756
2018-05-11,-2.5257
2018-05-14,1.3436
2018-05-15,2.6515
2018-05-16,8.0258
2018-05-17,-0.2562
2018-05-18,0.2568
2018-05-21,-0.2562
2018-05-22,-1.113
2018-05-23,0.0866
2018-05-24,-0.8651
2018-05-25,-1.6579000000000002
2018-05-29,0.7098
2018-05-30,0.8811
2018-05-31,7.5109
2018-06-01,1.5434999999999999
2018-06-04,1.12
2018-06-05,5.2215
2018-06-06,-3.3835
2018-06-07,-3.4241
2018-06-08,4.5125
2018-06-11,0.0771
2018-06-12,-1.772
2018-06-13,-7.1373
2018-06-14,1.9426
2018-06-15,6.628
2018-06-18,3.5742000000000003
2018-06-19,8.7022
2018-06-20,7.4534
2018-06-21,-11.1753
2018-06-22,1.88
2018-06-25,4.7551
2018-06-26,-4.5393
2018-06-27,0.2129
2018-06-28,0.0
2018-06-29,1.6289
2018-07-02,1.6724999999999999
2018-07-03,0.891
2018-07-05,1.2227999999999999
2018-07-06,-1.3423
2018-07-09,1.4285999999999999
2018-07-10,-0.8719
2018-07-11,0.5413
2018-07-12,3.0956
2018-07-13,5.483
2018-07-16,-6.8688
2018-07-17,-8.2392
2018-07-18,1.231
2018-07-19,0.5722
2018-07-20,0.0
2018-07-23,4.623
2018-07-24,-1.1557
2018-07-25,-1.238
2018-07-26,1.4624
2018-07-27,4.5299
2018-07-30,3.8739
2018-07-31,6.0051
2018-08-01,-7.5134
2018-08-02,-4.3198
2018-08-03,3.9757
2018-08-06,6.6105
2018-08-07,1.3374
2018-08-08,-9.898
2018-08-09,0.0666
2018-08-10,4.5908
2018-08-13,-0.6361
2018-08-14,-5.2497
2018-08-15,-4.0541
2018-08-16,-3.3099
2018-08-17,-0.2185
