ticker,ABLE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.3810000000000002
2000-01-04,4.5732
2000-01-05,4.9563
2000-01-06,-11.1111
2000-01-07,15.0
2000-01-10,-8.9674
2000-01-11,0.0
2000-01-12,14.6269
2000-01-13,0.0
2000-01-14,-10.4167
2000-01-18,-4.6512
2000-01-19,2.439
2000-01-20,-2.3810000000000002
2000-01-21,0.0
2000-01-24,17.0732
2000-01-27,-11.7188
2000-02-01,17.9941
2000-02-02,-15.25
2000-02-03,1.4748999999999999
2000-02-04,-5.814
2000-02-07,6.1728
2000-02-08,-5.814
2000-02-09,6.1728
2000-02-10,0.0
2000-02-11,27.907
2000-02-14,-9.0909
2000-02-15,4.0
2000-02-16,-7.6923
2000-02-17,0.0
2000-02-18,12.5
2000-02-22,3.7037
2000-02-23,0.0
2000-02-25,-7.1429
2000-02-29,1.9231
2000-03-01,2.8302
2000-03-02,-2.7523
2000-03-03,0.0
2000-03-06,-9.434
2000-03-07,8.3333
2000-03-08,3.8462
2000-03-09,1.8519
2000-03-13,-3.6364
2000-03-14,-9.434
2000-03-15,0.0
2000-03-17,0.0
2000-03-21,2.0833
2000-03-22,-2.0408
2000-03-23,2.0833
2000-03-24,-2.0408
2000-03-27,0.0
2000-04-04,-4.1667
2000-04-05,0.0
2000-04-06,0.0
2000-04-07,-4.3478
2000-04-10,5.3977
2000-04-11,0.0
2000-04-12,-2.965
2000-04-13,0.0
2000-04-14,-2.2222
2000-04-17,-3.4091
2000-04-18,-4.7059
2000-04-19,-3.7037
2000-04-20,0.0
2000-04-24,0.0
2000-04-25,7.3718
2000-04-26,-11.6418
2000-04-27,0.0
2000-04-28,-2.7027
2000-05-01,0.0
2000-05-02,5.5556
2000-05-03,-1.9737
2000-05-05,-1.0067
2000-05-10,8.4746
2000-05-11,2.5
2000-05-12,2.439
2000-05-15,0.0
2000-05-16,4.7619
2000-05-17,0.8523
2000-05-18,8.169
2000-05-19,0.0
2000-05-22,-10.9375
2000-05-24,-1.7544
2000-05-25,0.0
2000-05-26,-4.7619
2000-05-30,-5.0
2000-05-31,-5.2632
2000-06-01,0.0
2000-06-02,-4.1667
2000-06-05,0.0
2000-06-06,7.2464
2000-06-07,0.0
2000-06-08,0.0
2000-06-09,3.3784
2000-06-12,4.5752
2000-06-13,2.5
2000-06-15,-4.878
2000-06-16,-2.5641
2000-06-21,2.6316
2000-06-22,-2.5641
2000-06-23,3.9474
2000-06-26,3.7975
2000-06-27,-4.878
