ticker,AMFC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,5.6604
2000-01-04,-3.5714
2000-01-10,0.9259
2000-01-11,-2.7523
2000-01-12,0.4717
2000-01-13,0.0
2000-01-14,0.0
2000-01-18,0.939
2000-01-26,0.4651
2000-01-27,0.0
2000-01-28,0.9259
2000-02-01,-0.9174
2000-02-10,0.5961
2000-02-11,3.7037
2000-02-14,-3.5714
2000-02-15,0.0
2000-02-18,-0.9259
2000-02-22,0.4673
2000-02-28,-0.4651
2000-02-29,-1.8692
2000-03-03,0.0
2000-03-07,0.9524
2000-03-17,-0.9434
2000-03-20,2.3810000000000002
2000-03-21,-0.4651
2000-03-22,0.9346
2000-03-23,-0.9259
2000-04-03,0.4673
2000-04-05,0.0
2000-04-10,1.8605
2000-04-13,-1.8265
2000-04-17,0.0
2000-04-18,0.2326
2000-04-19,-0.232
2000-05-01,2.3256
2000-05-02,-1.8182
2000-05-03,0.5926
2000-05-04,-0.463
2000-05-08,0.0
2000-05-09,0.0
2000-05-10,-0.9302
2000-05-16,1.6432
2000-05-23,-1.1547
2000-06-01,0.9346
2000-06-02,-0.463
2000-06-05,0.4651
2000-06-06,3.7037
2000-06-07,0.0
2000-06-09,0.0
2000-06-12,0.0
2000-06-13,-1.3393
2000-06-16,-1.3575
2000-06-20,-1.8349
2000-06-22,0.0
2000-06-29,5.6075
2000-06-30,-7.9646
2000-07-03,15.3846
2000-07-05,-3.75
2000-07-06,-1.2987
2000-07-07,-12.5
2000-07-11,0.0
2000-07-12,0.0
2000-07-13,11.2782
2000-07-27,-12.1622
2000-07-28,-4.6154
2000-08-01,0.0
2000-08-02,0.0
2000-08-04,0.0
2000-08-08,18.9516
2000-08-22,0.9963
2000-08-28,-14.8649
2000-08-30,0.7937
2000-09-07,13.3858
2000-09-08,-12.5
2000-09-11,7.1429
2000-09-13,-6.6667
2000-09-14,10.3175
2000-09-20,-9.3525
2000-09-21,0.0
2000-09-29,0.0
2000-10-06,3.373
2000-10-09,5.9501
2000-10-10,-5.7971
2000-10-13,0.0
2000-10-19,4.6154
2000-10-20,0.0
2000-10-24,5.1471
2000-10-25,-6.2937
2000-10-30,5.9701
2000-10-31,0.0
2000-11-03,-1.4085
2000-11-06,0.0
2000-11-14,2.1289
2000-11-15,2.8169
2000-11-20,4.1096
2000-11-28,-0.9868
2000-12-08,0.3322
2000-12-19,-8.6093
2000-12-21,0.0
2000-12-29,0.0
2001-01-08,1.4493
2001-01-12,7.8571
