ticker,SWIOU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-09-29,0.0
2014-10-29,7.1429
2014-12-01,-6.6667
2015-01-05,0.0
2015-01-27,-2.8571
2015-02-27,-5.8824
2015-03-04,-1.5625
2015-03-05,7.9365
2015-03-11,-5.8824
2015-03-18,1.5625
2015-04-29,-3.0769
2015-05-28,0.0
2015-07-06,3.1746
2015-07-08,0.0
2015-07-09,0.0
2015-08-12,-0.7692
2015-08-17,-1.8605
2015-09-04,-0.4739
2015-11-02,-3.1746
2015-11-19,0.0328
2016-02-22,-8.2268
2016-05-26,-3.5714
2016-07-13,4.6296
2016-10-03,-3.7037
2016-10-13,0.0
2016-10-14,0.0
2016-10-19,0.0
2016-11-16,0.0
2016-11-18,0.0
2016-11-28,0.0
2017-04-26,-3.8462
2017-05-11,6.2
2017-06-19,3.6723
2017-09-13,-0.0908
2017-10-13,-1.8182
2017-10-23,0.0
2017-12-05,-3.7037
2018-02-12,5.7692
2018-02-20,-2.6727
2018-02-23,2.7461
2018-04-04,1.8182
2018-05-21,0.0
2018-07-10,-1.7856999999999998
2018-12-26,0.0
2019-04-29,-14.5455
2019-11-11,0.0
2020-02-04,0.0
2020-02-27,0.0
