ticker,URGN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-05-04,7.5385
2017-05-05,0.1431
2017-05-08,13.857099999999999
2017-05-09,2.9486
2017-05-10,2.7422
2017-05-11,0.4745
2017-05-12,-3.1877
2017-05-15,3.5976
2017-05-16,0.824
2017-05-17,-4.0864
2017-05-18,9.5557
2017-05-19,4.7222
2017-05-22,0.2653
2017-05-23,-1.8519
2017-05-24,0.8086
2017-05-25,-1.5508
2017-05-26,0.3802
2017-05-30,2.4351
2017-05-31,-5.7052
2017-06-01,4.2017
2017-06-02,0.2151
2017-06-05,-0.7511
2017-06-06,-3.5135
2017-06-07,0.2241
2017-06-08,-2.1241
2017-06-09,-6.3392
2017-06-12,-0.2439
2017-06-13,-0.9169
2017-06-14,-3.0228
2017-06-15,-3.7532
2017-06-16,3.1725
2017-06-19,0.1281
2017-06-20,1.6635
2017-06-21,9.8175
2017-06-22,1.2607
2017-06-23,-1.528
2017-06-26,11.6667
2017-06-27,1.9043
2017-06-28,-1.2626
2017-06-29,-3.4271
2017-06-30,-4.3432
2017-07-03,3.7375
2017-07-05,-1.2543
2017-07-06,1.3514
2017-07-07,3.1467
2017-07-10,-2.2751
2017-07-11,-0.2646
2017-07-12,-2.6525
2017-07-13,0.654
2017-07-14,-4.1689
2017-07-17,1.6949
2017-07-18,-1.1111
2017-07-19,1.7978
2017-07-20,1.4901
2017-07-21,-2.0663
2017-07-24,3.8312
2017-07-25,1.5508
2017-07-26,-1.0005
2017-07-27,-2.1277
2017-07-28,2.5815
2017-07-31,-3.7881
2017-08-01,-2.2577
2017-08-02,-0.0563
2017-08-03,5.0169
2017-08-04,-0.5368
2017-08-07,1.4571
2017-08-08,-3.1915
2017-08-09,-0.8791
2017-08-10,-2.051
2017-08-11,1.2168
2017-08-14,2.9913
2017-08-15,-2.823
2017-08-16,-1.5642
2017-08-17,-0.227
2017-08-18,-0.3982
2017-08-21,-2.056
2017-08-22,3.3236
2017-08-23,1.2974
2017-08-24,-3.2307
2017-08-25,0.5757
2017-08-28,3.2627
2017-08-29,7.2616
2017-08-30,11.938
2017-08-31,10.1108
2017-09-01,6.0377
2017-09-05,1.5421
2017-09-06,5.1402
2017-09-07,5.4815
2017-09-08,-2.2121
2017-09-11,1.4003999999999999
2017-09-12,1.0269
2017-09-13,7.2205
2017-09-14,6.9631
2017-09-15,-0.0917
2017-09-18,-1.7130999999999998
2017-09-19,-0.6536
2017-09-20,-5.8271
2017-09-21,-1.8296999999999999
2017-09-22,3.3209
