ticker,CHHCF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-06-26,0.0
2017-07-12,0.0
2017-08-04,900.0
2017-08-18,-90.0
2017-08-23,0.0
2017-08-24,0.0
2017-09-01,900.0
2017-09-08,-90.0
2017-11-02,900.0
2017-11-07,0.0
2017-12-01,0.0
2017-12-06,0.0
2017-12-13,-90.0
2017-12-15,0.0
2017-12-19,900.0
2017-12-20,-90.0
2017-12-21,0.0
2018-01-02,0.0
2018-01-08,900.0
2018-02-01,-90.0
2018-02-02,0.0
2018-03-19,0.0
2018-03-21,0.0
2018-04-03,0.0
2018-04-16,0.0
2018-04-20,0.0
2018-04-25,7549900.0
2018-04-30,-3.9735
2018-05-16,-3.4483
2018-05-21,-7.1429
2018-05-30,0.0
2018-07-12,-3.8462
2018-07-31,-99.9984
2018-10-01,9900.0
2018-10-29,0.0
2018-11-14,-99.0
2018-12-21,9900.0
2018-12-27,-99.0
2019-01-07,49900.0
2019-01-09,0.0
2019-01-23,100.0
2019-02-27,50.0
2019-03-14,-33.3333
2019-03-20,0.0
2019-03-29,0.0
2019-04-10,-50.0
2019-04-29,-99.8
2019-05-08,0.0
2019-09-17,9900.0
2019-11-18,-96.0
2019-12-09,150.0
2019-12-20,900.0
2019-12-26,100.0
2020-02-06,0.0
2020-05-27,-99.95
2020-06-24,10900.0003
2020-07-15,809.0909
