ticker,MDB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-10-19,33.625
2017-10-20,-4.3343
2017-10-23,-0.5867
2017-10-24,0.2295
2017-10-25,1.4066
2017-10-26,0.3226
2017-10-27,-0.6752
2017-10-30,-3.3668
2017-10-31,2.1106
2017-11-01,-2.231
2017-11-02,0.5034
2017-11-03,-1.0684
2017-11-06,3.3075
2017-11-07,-2.6135
2017-11-08,0.2348
2017-11-09,-2.2088
2017-11-10,3.3539
2017-11-13,1.5894
2017-11-14,-2.6076
2017-11-15,-0.8367
2017-11-16,0.81
2017-11-17,-0.1339
2017-11-20,-1.9108
2017-11-21,-0.1709
2017-11-22,0.2396
2017-11-24,2.1858
2017-11-27,-0.7687
2017-11-28,-0.4715
2017-11-29,-2.8426
2017-11-30,-0.627
2017-12-01,-2.5587
2017-12-04,-1.5827
2017-12-05,-4.4225
2017-12-06,2.7533
2017-12-07,-0.9304
2017-12-08,-3.2307
2017-12-11,4.2702
2017-12-12,7.9672
2017-12-13,-5.6897
2017-12-14,2.8519
2017-12-15,4.5859
2017-12-18,-3.8068999999999997
2017-12-19,-0.8834
2017-12-20,5.1693
2017-12-21,-2.7797
2017-12-22,-0.802
2017-12-26,1.2302
2017-12-27,1.0417
2017-12-28,3.9175
2017-12-29,-1.8519
2018-01-02,-1.4487999999999999
2018-01-03,-0.3419
2018-01-04,-0.3431
2018-01-05,0.0
2018-01-08,-0.8262
2018-01-09,-0.0694
2018-01-10,0.2779
2018-01-11,2.5632
2018-01-12,-1.1145
2018-01-16,-0.7514
2018-01-17,1.6173
2018-01-18,-1.5239
2018-01-19,0.1376
2018-01-22,-1.0646
2018-01-23,0.0694
2018-01-24,-2.2893
2018-01-25,-0.568
2018-01-26,0.6426
2018-01-29,-1.8092000000000001
2018-01-30,0.5419
2018-01-31,-2.5871
2018-02-01,1.2541
2018-02-02,-3.388
2018-02-05,-2.4133
2018-02-06,-0.3864
2018-02-07,2.3662
2018-02-08,0.4168
2018-02-09,-0.3774
2018-02-12,2.8788
2018-02-13,3.6451000000000002
2018-02-14,7.0337
2018-02-15,-0.7965
2018-02-16,0.2342
2018-02-20,1.0347
2018-02-21,2.5768
2018-02-22,-3.124
2018-02-23,5.1197
2018-02-26,-2.3719
2018-02-27,1.7168999999999999
2018-02-28,2.5796
2018-03-01,2.2664
2018-03-02,7.0128
2018-03-05,2.156
2018-03-06,-4.1377
2018-03-07,10.139
2018-03-08,1.4203000000000001
2018-03-09,-1.9969000000000001
