ticker,AEEX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-12-04,126.087
2015-12-07,15.3846
2015-12-10,8.3333
2015-12-11,-4.6154
2015-12-14,-11.2903
2015-12-15,-5.4545
2015-12-16,-3.8462
2015-12-17,-9.8
2015-12-18,44.1242
2015-12-21,-11.0769
2015-12-23,55.7093
2015-12-24,-37.7778
2015-12-28,7.1429
2015-12-29,8.0
2015-12-30,-7.4074
2015-12-31,3.3333
2016-01-05,-5.1613
2016-01-07,2.0408
2016-01-08,3.3333
2016-01-11,-11.2903
2016-01-12,-5.4545
2016-01-13,0.0
2016-01-14,9.6154
2016-01-15,-12.2807
2016-01-19,4.0
2016-01-20,3.8462
2016-01-21,3.7037
2016-01-22,1.7856999999999998
2016-01-25,5.2632
2016-01-26,-3.3333
2016-01-27,-3.4483
2016-01-28,-7.1429
2016-01-29,0.0
2016-02-01,5.7692
2016-02-02,-5.4545
2016-02-03,11.538499999999999
2016-02-05,-2.4138
2016-02-09,2.4735
2016-02-10,0.0
2016-02-12,0.6897
2016-02-16,2.5685000000000002
2016-02-17,-0.1669
2016-02-19,0.3344
2016-02-22,3.3333
2016-02-23,-2.4194
2016-02-24,-0.9917
2016-02-25,0.1669
2016-03-01,0.0
2016-03-02,0.0
2016-03-03,-0.8333
2016-03-04,0.6723
2016-03-07,0.0
2016-03-08,0.1669
2016-03-10,-0.3333
2016-03-11,0.3344
2016-03-14,-0.8333
2016-03-16,0.6723
2016-03-22,-4.0067
2016-03-23,-3.4783
2016-03-24,-0.9009
2016-03-28,-0.3636
2016-03-29,-0.5474
2016-03-30,0.0
2016-03-31,0.5505
2016-04-01,-0.1825
2016-04-04,-23.2176
2016-04-11,-4.7619
2016-04-12,-25.75
2016-04-14,-32.6599
2016-04-15,-74.9906
2016-04-18,141.9093
2016-04-19,65.2893
2016-04-20,-1.0
2016-04-22,-15.1515
2016-04-25,-25.5952
2016-04-26,-12.0
2016-04-28,-0.9091
2016-04-29,54.1284
2016-05-02,-11.9048
2016-05-03,-15.5405
2016-05-04,-12.0
2016-05-09,52.7273
2016-05-17,-17.2619
2016-05-19,-6.4748
2016-05-20,-3.0769
2016-05-23,-2.3810000000000002
2016-05-24,-9.7561
2016-05-25,422.5225
2016-05-31,-5.1724
2016-06-01,-3.6364
2016-06-13,-80.9434
2016-06-14,37.6238
2016-06-15,42.446
2016-06-16,-44.4444
2016-06-17,-0.9091
2016-06-20,1.8349
2016-06-21,-9.9099
2016-06-22,-3.0
