ticker,NLST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-11-30,15.7143
2006-12-01,-1.2346
2006-12-04,-0.5
2006-12-05,1.5074999999999998
2006-12-06,17.5743
2006-12-07,3.1579
2006-12-08,0.8163
2006-12-11,-2.9352
2006-12-12,-4.5881
2006-12-13,-5.4645
2006-12-14,8.474
2006-12-15,3.6982
2006-12-18,-4.4193
2006-12-19,0.8132
2006-12-20,1.3266
2006-12-21,1.6842000000000001
2006-12-22,-3.2091
2006-12-26,2.6738
2006-12-27,-0.2083
2006-12-28,1.7745
2006-12-29,-0.3077
2007-01-03,-3.1893
2007-01-04,-0.6376
2007-01-05,0.4278
2007-01-08,1.1715
2007-01-09,7.1579
2007-01-10,-1.6699000000000002
2007-01-11,4.7952
2007-01-12,3.3365
2007-01-16,14.3911
2007-01-17,-4.3548
2007-01-18,-6.4081
2007-01-19,0.2703
2007-01-22,-3.8634
2007-01-23,3.4579
2007-01-24,-3.8844
2007-01-25,-6.109
2007-01-26,-0.7007
2007-01-29,0.9073
2007-01-30,-8.7912
2007-01-31,3.1763
2007-02-01,4.2463
2007-02-02,-6.0081
2007-02-05,-2.4919000000000002
2007-02-06,1.6667
2007-02-07,-1.0929
2007-02-08,-1.6575
2007-02-09,-3.7093
2007-02-12,0.4682
2007-02-13,-0.6969
2007-02-14,-2.3392
2007-02-15,-2.3952
2007-02-16,0.3681
2007-02-20,-2.0782
2007-02-21,-1.2484
2007-02-22,-2.402
2007-02-23,2.9793
2007-02-26,6.0377
2007-02-27,-2.1352
2007-02-28,5.4545
2007-03-01,-2.8736
2007-03-02,-11.5976
2007-03-05,-8.4337
2007-03-06,6.7251
2007-03-07,2.0548
2007-03-08,0.4027
2007-03-09,-2.9428
2007-03-12,10.3325
2007-03-13,-7.3658
2007-03-14,-0.8086
2007-03-15,1.3587
2007-03-16,1.6086
2007-03-19,1.1873
2007-03-20,0.7823
2007-03-21,1.5524
2007-03-22,-6.1146
2007-03-23,0.9498
2007-03-26,-4.4355
2007-03-27,-0.7032
2007-03-28,-0.4249
2007-03-29,-1.4224999999999999
2007-03-30,0.4329
2007-04-02,-0.2874
2007-04-03,0.8646
2007-04-04,-1.8571
2007-04-05,-0.7278
2007-04-09,2.0528
2007-04-10,-1.7241
2007-04-11,-7.7485
2007-04-12,-4.7544
2007-04-13,-1.9967000000000001
2007-04-16,1.3582
2007-04-17,-28.1407
2007-04-18,1.1655
2007-04-19,-1.6129
2007-04-20,-6.3232
2007-04-23,-0.5
