ticker,TPVG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-03-06,4.3333
2014-03-07,-0.639
2014-03-10,-0.1286
2014-03-11,0.1932
2014-03-12,0.5784
2014-03-13,0.5112
2014-03-14,2.9879
2014-03-17,-1.2346
2014-03-18,1.0625
2014-03-19,0.6184
2014-03-20,1.0449
2014-03-21,-0.2433
2014-03-24,-2.0732
2014-03-25,-0.0623
2014-03-26,-0.1869
2014-03-27,-0.1248
2014-03-28,0.5625
2014-03-31,0.9323
2014-04-01,1.4163000000000001
2014-04-02,-0.1214
2014-04-03,-2.1277
2014-04-04,-1.2422
2014-04-07,-0.8176
2014-04-08,2.4731
2014-04-09,-0.6188
2014-04-10,-1.1831
2014-04-11,-1.2602
2014-04-14,1.1553
2014-04-15,-3.3629
2014-04-16,3.8739
2014-04-17,-0.5689
2014-04-21,-1.3986
2014-04-22,-0.7092
2014-04-23,-0.9091
2014-04-24,0.9174
2014-04-25,-1.1039
2014-04-28,-1.5102
2014-04-29,-0.3333
2014-04-30,1.6722000000000001
2014-05-01,-0.7895
2014-05-02,0.1989
2014-05-05,1.8531
2014-05-06,-1.1046
2014-05-07,-1.1827
2014-05-08,1.1303
2014-05-09,-0.3945
2014-05-12,-0.9901
2014-05-13,0.2
2014-05-14,-0.1331
2014-05-15,0.533
2014-05-16,0.0663
2014-05-19,1.8542999999999998
2014-05-20,-0.065
2014-05-21,0.2602
2014-05-22,0.0649
2014-05-23,0.454
2014-05-27,0.1291
2014-05-28,0.7092
2014-05-29,0.7833
2014-05-30,1.1658
2014-06-02,-0.7042
2014-06-03,2.8369
2014-06-04,-2.6959
2014-06-05,-0.8376
2014-06-06,-0.5848
2014-06-09,0.5229
2014-06-10,-0.8453
2014-06-11,0.0656
2014-06-12,-0.0655
2014-06-13,0.1311
2014-06-16,0.0655
2014-06-17,0.1963
2014-06-18,0.0
2014-06-19,0.3266
2014-06-20,-0.3906
2014-06-23,0.2614
2014-06-24,-0.1304
2014-06-25,1.1097
2014-06-26,1.2266
2014-06-27,2.9974
2014-06-30,1.4241
2014-07-01,-1.9536
2014-07-02,0.2491
2014-07-03,0.6211
2014-07-07,-0.6173
2014-07-08,0.4969
2014-07-09,-1.3597000000000001
2014-07-10,-0.188
2014-07-11,-0.565
2014-07-14,-0.947
2014-07-15,1.1472
2014-07-16,-2.4575
2014-07-17,-0.1938
2014-07-18,0.2589
2014-07-21,0.1291
2014-07-22,0.2579
2014-07-23,0.3215
2014-07-24,-1.1538
