ticker,TSE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-06-12,6.5789
2014-06-13,-0.2469
2014-06-16,0.3465
2014-06-17,4.8347
2014-06-18,2.5412
2014-06-19,1.1014
2014-06-20,1.9064999999999999
2014-06-23,-2.1826
2014-06-24,1.0474
2014-06-25,0.9464
2014-06-26,-1.3393
2014-06-27,-1.8552
2014-06-30,-4.1033
2014-07-01,-1.7788
2014-07-02,1.4684
2014-07-03,0.3859
2014-07-07,-0.6728
2014-07-08,-0.5322
2014-07-09,3.1128
2014-07-10,0.3302
2014-07-11,-0.1881
2014-07-14,-3.6269
2014-07-15,-2.4927
2014-07-16,-1.8045
2014-07-17,0.6636
2014-07-18,1.217
2014-07-21,-0.6513
2014-07-22,0.0
2014-07-23,-5.1942
2014-07-24,0.3723
2014-07-25,-0.6889
2014-07-28,-4.2689
2014-07-29,-5.0725
2014-07-30,-3.2296
2014-07-31,1.1529
2014-08-01,0.4199
2014-08-04,-0.3584
2014-08-05,-0.8393
2014-08-06,-0.1209
2014-08-07,2.5423999999999998
2014-08-08,4.9587
2014-08-11,0.5062
2014-08-12,1.5669
2014-08-13,2.9201
2014-08-14,3.4261
2014-08-15,-0.7246
2014-08-18,3.4411
2014-08-19,0.4536
2014-08-20,-0.5519
2014-08-21,-0.2523
2014-08-22,0.1012
2014-08-25,0.5558
2014-08-26,-0.804
2014-08-27,-0.7092
2014-08-28,0.2041
2014-08-29,0.1018
2014-09-02,-1.3225
2014-09-03,-0.1546
2014-09-04,-1.7553
2014-09-05,-0.7357
2014-09-08,-1.4823
2014-09-09,0.5911
2014-09-10,-2.6709
2014-09-11,-2.6894
2014-09-12,-0.9024
2014-09-15,-1.366
2014-09-16,0.5193
2014-09-17,0.287
2014-09-18,1.9462000000000002
2014-09-19,-1.516
2014-09-22,-1.1973
2014-09-23,-0.7501
2014-09-24,1.7442
2014-09-25,-3.2571
2014-09-26,0.2363
2014-09-29,-1.7678
2014-09-30,-5.6389
2014-10-01,-6.993
2014-10-02,-1.4354
2014-10-03,1.2483
2014-10-06,4.589
2014-10-07,-2.0301
2014-10-08,1.6042999999999998
2014-10-09,-2.8947000000000003
2014-10-10,-2.71
2014-10-13,-1.1142
2014-10-14,-1.5493000000000001
2014-10-15,-2.5751
2014-10-16,0.5874
2014-10-17,1.1679
2014-10-20,-0.2165
2014-10-21,2.7477
2014-10-22,-0.4222
2014-10-23,0.9894
2014-10-24,-0.2799
2014-10-27,-1.2631999999999999
2014-10-28,-0.1421
